topic,summary of points,"what facts, if any?","what anecdotes, if any?",anecdote quote,original transcript
,The person's points are that a combination of government and private healthcare would work and that everyone should be guaranteed at least healthcare.,"The facts are that if costs for the nonprofit and doctors, et cetera, don't get the salaries, your doctors are paid salaries, not based on how many procedures or anything like that.",The anecdote is that the person has Medicare and it's wonderful based on about 80% but they have a private insurance that pays the other 20.,"""I don't have to have that and I would be paying out of my pocket otherwise."""," we're never going to have us say if we have a health plan, you're going to run into some terrific problems with hospitals and facilities like that going out of business simply because of medicare can't afford to pay. they need even if costs for the nonprofit and doctors, et cetera, don't get the salaries. your doctors are paid salaries, not based on how many procedures or anything like that. there has to be a combination of government and private, just to make sense. i mean, if you could give ,ai everybody is guaranteed at least healthcare ,ai but you should be able to supplement that. or you should have to, if you want to, supplement that, as we do in medicare, i have medicare and it's wonderful based on about 80% but i have a private insurance that pays the other 20. i don't have to have that and i would be paying out of my pocket otherwise. but i would think in the general public some combination would make it work."
The topic the person is talking about is health care.,"The person's points are that corporations often negotiate salaries and contracts based on the health care part of their concern, and that it is easy to work that out. For a private individual, the person says that they would have the biggest expense because they go to the emergency room.","The facts are that corporations often negotiate salaries and contracts based on the health care part of their concern, and that it is easy to work that out.",The person does not support their point with anecdotes.,N/A," one of the things is that the corporations right now very often negotiate salaries and contracts based on the health care part of their concern. you could still have that happen, take care of the supplemental or a certain amount of corporations where they, based on the number of employees or to the government and to medicare. it is easy to work that out. for a private individual, i would say who,aos 40 years old and has no job, they're going to have problems and they are going to have the biggest expense because they go to the emergency room. you have to have somehow a way of covering people whose income is not adequate to manage insurance."
The topic is Medicare.,The person's points are that Medicare is expensive and that it would be unfortunate to have to pay for three more people.,The facts are that Medicare is expensive and that it would be unfortunate to have to pay for three more people.,There are no anecdotes.,There are no quotes.," think about family of four. my medicare right now is expensive. if i had to pay for three more, say they had three kids and no husband or something, that would be unfortunate."
,They think that Medicare for all would be good because the government wouldn't be in charge of people's health care.,The facts are that the government wouldn't be in charge of people's health care.,They do not support their point with anecdotes.,They make the claim that the government wouldn't be in charge of people's health care.," we're not saying the va runs the hospitals. if you have medicare for all, medicare doesn't run the facilities. i go to my own doctor for medicare. i still have private doctors, but they're paying my supplemental. if we have a system in the country that would pay hospitals and doctors a base rate and then you wouldn't have government managing like they do with the va. the government wouldn't be in charge of your health care like they are now."
The topic is a 27 like a 20 million people.,They think it is a good idea because it will help a lot of people.,The facts are that it will help a lot of people.,They do not support their point with anecdotes.,N/A, it's a 27 like a 20 million people.
The topic is regulation.,The person's points are that regulation is necessary and that laws are necessary to protect people.,The facts are that regulation is necessary and that laws are necessary to protect people.,There are no anecdotes.,There are no quotes., they have to regulate things. they have to have laws for how people are treated.
The topic the person is talking about is Medicare.,"The person's points are that Medicare is a way to pay for the cost of healthcare, and that expanding Medicare to cover everyone could be a good thing.","The facts are that Medicare is a way to pay for the cost of healthcare, and that expanding Medicare to cover everyone could be a good thing.",The person does not support their points with anecdotes.,N/A," but medicare isn,aot a program. it's a paying system. it,aos a way to pay for the cost. kaiser permanente (?) is health system. they provide the doctors and the treatments and everything. ba is the same, but medicare is just to give money to these facilities. they're just saying this is what we'll pay you. they want to expand that to cover everybody"
The topic is Medicare.,They think that Medicare should be free.,The facts are that Medicare is a government-funded program.,They do not support their point with anecdotes.,N/A," you don,aot have to pay for the medicare."
The topic they are talking about is retirement.,"They think that once you retire, you will have more time to enjoy your life and do the things you love.",The facts are that you will have more time to enjoy your life and do the things you love once you retire.,They do not support their point with anecdotes.,N/A," yeah, no but not once you retire."
,"The person's points are that their friend died because he didn't have insurance and that if he had insurance, he would have been able to get treatment and would still be alive.",The anecdote is about the person's friend dying because he didn't have insurance.,The claims the person makes are that their friend would still be alive if he had insurance and that not having insurance is dangerous.,The premises the person relies on are that insurance would have allowed their friend to get treatment and that not having insurance is dangerous.," when you don't need it, when you're healthy, it's wonderful, i don't have anything right? one day life turns on that day, and the next day all of a sudden, here's something that's going to cost $1 million. my best friend just died because he didn't have insurance. he was healthy. he was 59 years old and he said, i don't need insurance. i said, steve, take insurance. at least take obamacare, take something. no he said. he got a sore on the bottom of his foot. he went into the doctors and i said, well, we don't know what's causing it, but it doesn't hurt. i said, you might have diabetes. he waved 3-20 he said, no, i don't have diabetes. i said, it doesn't hurt that you got a sore on your foot. he developed a blood clot on top of his feet and so they drained it and they put him in the hospital overnight and that cost $13,000. so he left the next morning instead of being treated, he died on easter sunday, three weeks later from a blood clot that went from his foot to his calf to his heart. no insurance. if he had insurance, he would've gotten to the hospital. they would have treated it there to check the diabetes. they would have drained it, they would give him blood thinners, he'd be alive."
The topic is that the majority of bankruptcies are caused by health.,The person's points are that the majority of bankruptcies are caused by health and that $128 a month is a lot out of your pocket.,The facts are that the majority of bankruptcies are caused by health and that $128 a month is a lot out of your pocket.,There are no anecdotes.,There are no quotes.," the majority of bankruptcies are caused by health. $128 a month maybe a lot out of your pocket, but it's nothing compared to the first big bill."
