order,author,summary,pros,text
34,Nancy,"1. The wealthy should pay more in taxes because they have more income from sources other than wages.
2. The tax system is unfair because it does not tax all income equally.
3. We should implement a wealth tax on rich people is okay
4. We should implement a wealth tax on rich people is bad
5. We should implement a wealth tax on rich people is the best thing ever","

1. A) Pro Reason: The argument is in favor of the proposal.
2. B) Con Reason: The argument is against the proposal.
3. C) Not applicable to the given proposal. Reason: The argument does not address the proposal.
4. C) Not applicable to the given proposal. Reason: The argument does not address the proposal.
5. C) Not applicable to the given proposal. Reason: The argument does not address the proposal."," well it was. but even on income tax, what you make is not just ,ai if you're wealthy ,ai it's not just the wages, it's also income off other things ,ai injust things, you know."
36,Nancy,"1. The complexity of the 1%'s income makes it difficult to tax them accurately.
2. The capital gains tax is more important to retired people than it is to wealthy people.
3. We should implement a wealth tax on rich people is okay
4. We should implement a wealth tax on rich people is bad
5. We should implement a wealth tax on rich people is the best thing ever","

1. C) Not applicable to the given proposal. Reason: This argument does not address the proposal directly.
2. C) Not applicable to the given proposal. Reason: This argument does not address the proposal directly.
3. A) Pro. Reason: This is a direct argument in support of the proposal.
4. B) Con. Reason: This is a direct argument against the proposal.
5. C) Not applicable to the given proposal. Reason: This argument does not address the proposal directly."," when you're talking about the 1%, that's the wealthiest, the complexity of their income is amazing. i mean, they have all types of incomes that are taxed separately. in some cases, for example, the capital gains tax that people want it just to add to your income. if you're a retired person and you have an income that in part is from your capital gains, that's much more important to you than it is to john rockefeller. i mean to tax that income on a retired person, it's a penalty. to tax it on a wealthy person that is not the same. it's not as simple as just what's your earnings and for that reason, the wealthier you are, the harder it is to accurately tax income."
38,Nancy,"1. The speaker argues that there are two types of income, and they are taxed differently for a reason.
2. The speaker argues that the tax code is complex and difficult to understand.
3. We should implement a wealth tax on rich people is okay
4. We should implement a wealth tax on rich people is bad
5. We should implement a wealth tax on rich people is the best thing ever","

1. C) Not applicable to the given proposal. The speaker is discussing the tax code, not the proposal.
2. C) Not applicable to the given proposal. The speaker is discussing the tax code, not the proposal.
3. A) Pro. The speaker is in favor of the proposal.
4. B) Con. The speaker is against the proposal.
5. C) Not applicable to the given proposal. The speaker is making an opinion, not an argument."," which part of it is what kind of income, which is another, and they're taxed differently for a reason."
39,Erick,"1. The speaker argues that businesses should be able to offset their losses against their profits.
2. The speaker argues that businesses should only be able to offset legitimate losses.
3. The speaker argues that businesses should be incentivized to take risks.
4. We should implement a wealth tax on rich people is okay
5. We should implement a wealth tax on rich people is bad","

1. C) Not applicable to the given proposal. The argument is about businesses, not individuals.
2. C) Not applicable to the given proposal. The argument is about businesses, not individuals.
3. C) Not applicable to the given proposal. The argument is about businesses, not individuals.
4. A) Pro. The speaker is in favor of the proposal.
5. B) Con. The speaker is against the proposal."," you're also looking at net profit and of course you want to be able to offset the losses. it's only fair, i think that the trickery comes in when people can write up all sorts of things as being losses that you or i might not see as being a legitimate loss. on the other hand, you don't want to stifle the incentive to have risk and be able to write off that loss. but there's some point i think where you should be able to discern what's a true loss and what is a fictitious loss that we're just using the offset income."
40,Nancy,"1. The amount of money that would be garnered from the top pay your income in the world in the country would be enormous.
2. This doesn't affect people like retired people.
3. We should implement a wealth tax on rich people is okay
4. We should implement a wealth tax on rich people is bad
5. We should implement a wealth tax on rich people is the best thing ever","

1. A) Pro Reason: The amount of money that would be garnered from the top pay your income in the world in the country would be enormous.
2. C) Not applicable to the given proposal.
3. B) Con Reason: This doesn't affect people like retired people.
4. B) Con Reason: We should implement a wealth tax on rich people is bad
5. C) Not applicable to the given proposal."," what,aos does everyone think about the 2 cents on the dollar over 2 million that elizabeth warren has proposed? rather than talk about taxes per se, you simply say if your income is, and she said too many ways, you could say it's 20 million. if there's a point over which you pay that 2% on every dollar, the amount of money that would be garnered from the top pay your income in the world in the country would be enormous. and that doesn't affect people like retired people. so it's an interesting approach."
41,Gary,"1. The speaker argues that the farmer who owns a 300 acre farm and is out there farming it every single day is struggling to pay off his tractor and things like that.
2. The speaker argues that if you put an additional tax on the farmer, he'll have to sell off part of his farm to be able to pay those additional taxes or that additional 2%.
3. We should implement a wealth tax on rich people is okay
4. We should implement a wealth tax on rich people is bad
5. We should implement a wealth tax on rich people is the best thing ever","

1. C Reason: This is not an argument for or against the proposal.
2. C Reason: This is not an argument for or against the proposal.
3. A Reason: This is an argument in favor of the proposal.
4. B Reason: This is an argument against the proposal.
5. C Reason: This is not an argument for or against the proposal."," but the farmer who owns a 300 acre farm and is out there farming it every single day and that farm is worth so many millions of dollars, but yet he's struggling to pay off his tractor and things like that. you put an additional tax on him, he'll have to sell off part of his farm to be able to pay those additional taxes or that additional 2%."
42,Nancy,"1. The speaker argues that the tax plan will not hurt the wealthy because it only taxes income, not wealth.
2. The speaker argues that the tax plan is fair because it only affects those with a lot of money.
3. The speaker argues that the tax plan will not hurt the economy because it only taxes income, not wealth.
4. We should implement a wealth tax on rich people is okay
5. We should implement a wealth tax on rich people is bad","

1. C) Not applicable to the given proposal. The proposal is for a wealth tax, not an income tax.
2. A) Pro. The proposal is for a wealth tax, which would only affect those with a lot of money.
3. C) Not applicable to the given proposal. The proposal is for a wealth tax, not an income tax.
4. A) Pro. The proposal is for a wealth tax on rich people.
5. B) Con. The proposal is for a wealth tax on rich people."," she's talking that income profit. in other words, not the money that he has offset ,ai the net ,ai not the gross. it's not wealth but income. so some million whatever you decide, then you're not doing to him what you're saying. you're just saying you have an awful lot of money. you pay 2 cents on the dollar because you have an incredible amount of money. for most of us, and that doesn't affect the rest as far as texas go, i don't know,ap i think she has an interesting idea."
44,Nori,"1. A large percentage of citizens pay no taxes.
2. They have no skin in the game.
3. Even if they have a very little income, they should still pay something.
4. Otherwise they're just on the take and not contributing to the country at all.
5. We should implement a wealth tax on rich people is okay",", but it should be a lot higher.

1. C- This is not applicable to the given proposal because it does not mention anything about citizens who pay no taxes.
2. B- This is a con because it is saying that rich people should not have to pay taxes because they already have a lot of money.
3. A- This is a pro because it is saying that even if they have a very little income, they should still pay something.
4. B- This is a con because it is saying that rich people are just taking from the country and not contributing anything.
5. C- This is not applicable to the given proposal because it does not mention anything about increasing the tax on rich people."," i think one weakness in our tech system is that there are a large percentage of our citizens pay no taxes. they have no skin in the game at all. i think, even if it's, if you have a very little income, if you're in the poverty category, you should still pay something. if it's only seven dollars a year, you'd have something in the game. otherwise you're just on the take and then you're not contributing to the country at all."
45,Nancy (?),"1. The speaker argues that people in poverty are not ""takers"" but are instead working hard to make ends meet.
2. The speaker argues that socialist countries like Scandinavia provide a better standard of living for their citizens than the United States.
3. The speaker argues that the wealthy should pay higher taxes to help support programs that benefit the poor.
4. We should implement a wealth tax on rich people is okay
5. We should implement a wealth tax on rich people is bad","

1. C) Not applicable to the given proposal. The argument is not relevant to whether or not we should implement a wealth tax on rich people.
2. C) Not applicable to the given proposal. The argument is not relevant to whether or not we should implement a wealth tax on rich people.
3. A) Pro. The argument is in favor of implementing a wealth tax on rich people.
4. A) Pro. The argument is in favor of implementing a wealth tax on rich people.
5. B) Con. The argument is against implementing a wealth tax on rich people."," we'll take a person who's in poverty situation. it's on the taken, they're on the bear surviving it. i think the whole, all of these issues that we have are dependent on what we as a country think human beings, how human beings should be and exist in this country. if you say what you said about socialist, if you take some of the countries like scandinavia or under square, it's considered wrong for someone to be starving or to be unable to get their meds or to do this or that. yeah maybe socialists, but the taxes that are, those who are wealthier are paying are making it possible for people to live. most of those people were the poor people that i know work two jobs or more. if you say they don't have any skin in the game, they have their license, the game, they're barely making it to say, okay, well you're takers. they're not takers. there a few people who are just takers. very few if you just take the whole population. anyway,ap"
46,Nori,"1. The speaker argues that there are many people in the United States who rely on government assistance programs like food stamps and WIC, and that these programs are necessary to help them get by.
2. The speaker argues that some people who receive government assistance abuse the system by buying luxury items instead of using the assistance for its intended purpose.
3. The speaker argues that he or she sees this abuse of the system on a daily basis.
4. We should implement a wealth tax on rich people is okay
5. We should implement a wealth tax on rich people is bad","

1. A) Reason: The speaker is arguing that there are many people in the United States who rely on government assistance programs, and that these programs are necessary to help them get by.
2. B) Reason: The speaker is arguing that some people who receive government assistance abuse the system by buying luxury items instead of using the assistance for its intended purpose.
3. C) Reason: The argument is not applicable to the given proposal.
4. C) Reason: The argument is not applicable to the given proposal.
5. C) Reason: The argument is not applicable to the given proposal."," maybe in your part of the country. in my part of the country, there's a lot of poor people that are living on the ebc cards, right, and all of the other stuff. now the wic program is a wonderful program for the children. i know i have stood in line and watched people buy up enormous stakes and things like that, using ebt cards or the debit cards. i've seen them go into the gas station and buy the gasoline with those things right there. they're driving a new vehicle, nice gold chains. all kinds of things going on. i see it on a daily basis because i'm in a lower income area. there are a lot of people out there that are taking as much as they can and not giving anything in return."
47,Will,"1. The speaker argues that people who are violating the statutes or regulations of the food stamp program should be reported.
2. The speaker argues that there is a way to tighten up the laws to prevent people from abusing the food stamp program.
3. We should implement a wealth tax on rich people is okay
4. We should implement a wealth tax on rich people is bad
5. We should implement a wealth tax on rich people is the best thing ever","

1. C) not applicable to the given proposal. The speaker is talking about people who are violating the statutes or regulations of the food stamp program, not about implementing a wealth tax on rich people.
2. C) not applicable to the given proposal. The speaker is talking about tightening up the laws to prevent people from abusing the food stamp program, not about implementing a wealth tax on rich people.
3. A) pro. The speaker is in favor of implementing a wealth tax on rich people.
4. B) con. The speaker is against implementing a wealth tax on rich people.
5. C) not applicable to the given proposal. The speaker is talking about the best thing ever, not about implementing a wealth tax on rich people."," i'm sure that's true. like would have bought a, there are, i know steer that my daughter works in. if there are people violating the, statutes or regulations of that particular program, why can't they be, reporting perhaps is the word i'm thinking about, and say, hey, you can't drive around in numerous cities and buy these big fancy steaks and stuff like that. if they're doing that, they're, maybe i don't see him,ap there's a way to tighten up the laws, to, prevent that thing from happening."
48,Jackie,"1. The speaker argues that a universal basic income would help to reduce poverty and inequality by ensuring that everyone has a basic level of income.
2. The speaker argues that a universal basic income would help to reduce the number of people who are reliant on government assistance programs.
3. The speaker argues that a universal basic income would help to reduce the number of people who are living in poverty.
4. We should implement a wealth tax on rich people is okay
5. We should implement a wealth tax on rich people is bad","

1. A) Reason: The argument is in favor of the proposal.
2. A) Reason: The argument is in favor of the proposal.
3. A) Reason: The argument is in favor of the proposal.
4. C) Reason: The statement is not an argument for or against the proposal.
5. B) Reason: The argument is against the proposal."," honestly, that was one of the things that was interesting to me about just that thousand dollars for everyone just to be, ubi or whatever because they want to get rid of some of those things where people are getting more than they should have or aren't using it responsively. and then just say, everyone gets this. i thought that was an interesting thing because i do think there are people out there that do work the system. and just, unfortunately, and i try to just think, i tried to not let that bother me because i know i wouldn't do that myself, and if they're okay with living that way, then i'm like, that's fine. i'm not going to love what they do color how i feel about that. you know, those services are out there. if they, if they get approved for it, if they get that money, then that's ok. yeah, i never would have even considered ubi. it was interesting that there are countries that do that as well. you don't have people going hungry or people that aren't able to afford the basic needs. because as a teacher, i do see a lot of that as well. you know, i do see kids that don't have their basic needs met so. perhaps i towards a socialist, i don't know. i've never really liked to turn myself towards things, but it's, you're all human being, when you just, it hurts to think that there are people out there that don't have what they need or have to choose food versus medication and things like that."
49,Nancy,"1. The speaker argues that the person who gets 10 million is working the system.
2. The speaker argues that the person who is working the system is making a mistake.
3. We should implement a wealth tax on rich people is okay
4. We should implement a wealth tax on rich people is bad
5. We should implement a wealth tax on rich people is the best thing ever","

1. C) not applicable to the given proposal. Reason: The argument does not address the proposal directly.
2. C) not applicable to the given proposal. Reason: The argument does not address the proposal directly.
3. A) pro. Reason: The argument is in support of the proposal.
4. B) con. Reason: The argument is against the proposal.
5. C) not applicable to the given proposal. Reason: The argument does not address the proposal directly."," well you are saying working the system, but someone is working the system that gets them 10 million. when you're working the system, that's your mistake."
50,Ken,"1. The government should not pay too much attention to individual lives.
2. Taxes should not be increased to pay for government programs.
3. The national deficit is a problem.
4. The country may have to sacrifice certain things to help everyone.
5. We should implement a wealth tax on rich people is okay",".

1. C) Not applicable to the given proposal. Reason: The government should not pay too much attention to individual lives is not related to the proposal.
2. B) Con. Reason: Taxes should not be increased to pay for government programs is a con because the proposal is to increase taxes.
3. A) Pro. Reason: The national deficit is a problem is a pro because the proposal is to increase taxes which would help reduce the deficit.
4. C) Not applicable to the given proposal. Reason: The country may have to sacrifice certain things to help everyone is not related to the proposal.
5. A) Pro. Reason: We should implement a wealth tax on rich people is a pro because it is the proposal."," see i don't think the government should really pay that much attention to like individual lives cause that's only more taxes, money getting spent on trying to stop these loopholes and other things. when you also think about taxes, you got to think about, the national deficit ,ai how bad is a country is going into debt. i feel like it's, we might be in time as a country what we might have to sacrifice certain things, include him or tests to help everybody all as a whole country."
54,Nori,"1. The feeding the population is not a legitimate duty of the government.
2. The government has a spending problem, not an income problem.
3. Welfare programs should not be a function of the federal government.
4. We should implement a wealth tax on rich people is okay
5. We should implement a wealth tax on rich people is bad","

1. C) Not applicable to the given proposal. Reason: The proposal is about implementing a wealth tax, not about feeding the population.
2. C) Not applicable to the given proposal. Reason: The proposal is about implementing a wealth tax, not about the government's spending problem.
3. C) Not applicable to the given proposal. Reason: The proposal is about implementing a wealth tax, not about welfare programs.
4. A) Pro. Reason: The proposal is about implementing a wealth tax on rich people.
5. B) Con. Reason: The proposal is about implementing a wealth tax on rich people."," that's a big question. i think in relation to what we're talking here, a fundamental question would be, is the feeding the population legitimately a duty of the government? and a long time back in our history, that was the job of the church, not the job of the government and especially not the job of the federal government. in relation to taxes, from the politicians, we hear that we need more money to do more things, but income is not the problem. outgo is a problem. as trayvon said, we have a huge deficit in if you're, i read something from the heritage foundation the other day that if you take the government finances and bring it down to a family level, it's like this family owes over $300,000 in debt and yet they're spending $10,000 more a year than they take in. you're not going to last very long financially. if as a family, that's the way you operate, but that's the way our government is operating. it's a spending problem. it's not an income problem. we're spending money on things that we shouldn't be spending money on. well as i've said before, all of these welfare programs, should they really be a function of our federal government"
55,Chanel,"1. The speaker argues that people who are on the county after working for the post office and getting laid off are not abusing the system.
2. The speaker argues that a lot of people who are on the county are not abusing the system.
3. The speaker argues that there are programs that can help people who are on the county.
4. The speaker argues that the school to prison pipeline is a real problem.
5. We should implement a wealth tax on rich people is okay"," because it's been done before.

1. C) Not applicable to the given proposal. Reason: The argument is about people who are on the county, not about rich people.
2. C) Not applicable to the given proposal. Reason: The argument is about people who are on the county, not about rich people.
3. C) Not applicable to the given proposal. Reason: The argument is about people who are on the county, not about rich people.
4. A) Pro. Reason: The speaker is saying that the school to prison pipeline is a real problem, which is relevant to the proposal.
5. A) Pro. Reason: The speaker is saying that a wealth tax on rich people is okay because it's been done before, which is relevant to the proposal."," sorry to cut you off, but i'm someone that was on the county after working for the post office and getting laid off. and a lot of people, if i don't want to be emotional about this, it's funny too to me when people say people abuse the system. i'm someone who has a college degree. i grew up middle class. i now live in low-income housing. i didn't choose that. i was married but it didn't work out. i had to, when i got laid off, i looked for work. i didn't get it. i got on the account when i got on the county. i didn't abuse the system. yes there were times i bought steaks, but there was also times they have programs that can put you into counseling and therapy and i went to that and it helped me cause i was on the brink of having like a mental breakdown. when you see these people standing in front of liquor stores talking to themselves, acting crazy, a lot of it has to do with, they had some kind of emotional symptom. something tragic happened in their life and they didn't have help. if you grow up and your grandmother lived in the projects and your great grandmother lived in the projects, if you don't have these programs in school like we used to have there when i was younger, if they don't have that anymore, now they have the school to prison pipeline. i'm 41 years old. i can name more people that i know that have been incarcerated on small things starting at like 13. people look at it like what's their fault? if you don't have these programs to make their life better and you don't know any better, how are you supposed to do better? someone that i got on the county and it worked out for me because i grew up in middle-class. my mother is a teacher, she has a master's degree. my father worked for aerospace, so i didn't grow up in poverty. i live in poverty now. that's not a choice that i wanted to make, but i'm working and i probably make more than some of the people around me. i tried to do things in my environment, like speaking to younger kids and asking them certain things. i have a walking program because another thing is like in california, i'm not sure all the california, but long beach we have, there's an obesity problem. i know i'm skipping subjects, there's an obesity problem, but yet in 10th grade they took pe out of school. it's like i live in the hood. the closest grocery store to my house is 2.3 miles. the cost is bank is 2.3 miles. but you know what,aos close? mcdonald's, jack in a box, liquor stores and anything else. you name anything you want. i'm talking about in less than a mile. but in order for me to get fresh produce, i have to go 2.3 miles. now what if i didn't have a vehicle to drive to that? then i would have to take the bus, and then you have to worry about gangs. i understand people look at it like, oh people they use that county or ebt cards. some people do abuse it, but it's all races and all nationalities because it's not just one particular race. like cause if you really want to get into statistics, i can bring it up on a phone on how many people of different nationalities are really on the county and abuse that is not what people see on tv, people think it's one culture or one national, whatever. it's just we as a people need to figure out what we can do for everyone because if you just look at it like these people are abusing the system but nobody's helping them is going to continue to go on cause that school to prison pipeline, it's no joke."
56,Nori,"1. The speaker argues that society should help equalize the situation of people who are seriously below average, as they may not be able to help themselves.
2. The speaker argues that not everyone who needs assistance is of one particular ethnicity or choice.
3. The speaker argues that he himself needed assistance when he was younger, and that he eventually paid it back.
4. The speaker argues that the majority of people who want assistance nationwide are white people.
5. We should implement a wealth tax on rich people is okay",", but not on the middle class.

1. A) Reason: The speaker is arguing in favor of the proposal.
2. C) Reason: This argument is not applicable to the given proposal.
3. C) Reason: This argument is not applicable to the given proposal.
4. C) Reason: This argument is not applicable to the given proposal.
5. B) Reason: The speaker is arguing against the proposal."," i was going to say, we also have to look at just the reality. i mean there may be people gaming, but if you look at any particular talent, no matter what it is you do, there's a bell curve of distribution and 20% of the people in whatever it is you do or seriously below average, that bottom 20%. as a society, unless we want them to be walking around on the street and homeless, we may need to do something to help equalize their situation with ours. there's, there isn't a whole lot of choice. as it was pointed out, not everybody, in those circumstances is a one particular ethnicity or of their own choice. when i was 20 years old at ucla, my roommate suddenly moved off to texas. when i started ucla, it was there was taxpayers support for those schools and it was about $80 a quarter. then ronald reagan became governor, and by the time i got out, it was, i don't remember how much it was a quarter, but once my roommate moved out, i had no money and i ended up moving to a, like a quonset hut that had, there was four different houses divided into a rectangle thing. it had cockroaches and i was on food stamps for about, i don't know, 90 days, whatever it took till i got out of college and finished. but i think i paid it back. i finished it up. i got a real job after that. i then put myself through law school at night and i worked for the state of california as an attorney for 25 years. i think they got their money back on me by supporting me through the crisis. and yeah, you're right. the majority of people who want assistance nationwide are white people. part of what i presume part of the problem in your area is the opioid that puts these people are there must be reason to, people aren't working."
