topic,summary of points,"what facts, if any?","what anecdotes, if any?",anecdote quote,original transcript
They are talking about the stigma surrounding marijuana.,"They think that the stigma surrounding marijuana prevented many physicians from prescribing it for any pain, but they believe that this is changing.",The facts are that the stigma surrounding marijuana is preventing many physicians from prescribing it for any pain.,They do not support their point with anecdotes.,N/A,"As I said before, the stigma prevented many physicians from prescribing it for any pain. Mm-hmm <affirmative>."
The topic is the stigma around morphine.,"The person's points are that the stigma existed because of a popular understanding shared by both professionals and by layman, and that morphine was an end of life drug.","The facts are that the stigma existed because of a popular understanding shared by both professionals and by layman, and that morphine was an end of life drug.",There are no anecdotes.,There are no quotes.,"I'm not a student of the issue, but I believe that the stigma existed because of a popular understanding shared by both professionals and by layman, that morphine was an end of life drug, if it was to be used at all."
The topic is concerns.,The person's points are that some people have concerns and that they understand those concerns.,The facts are that some people have concerns.,The person does not support their points with anecdotes.,N/A,Some people had those concerns.
They are talking about the fact that it is correct.,They think it is correct.,The facts are that it is correct.,They do not support their point with anecdotes.,N/A,That's correct.
The date,The person cannot remember the date.,N/A,N/A,N/A,"Um, I, I'm not certain that I know the, the date. No."
"The topic the person is talking about is whether Purdue, Frederick, and Purdue Pharma were involved in the early years of selling the product.","The person's points are that Purdue, Frederick, and Purdue Pharma may have been involved in the early years of selling the product, but they are not sure.","The facts are that Purdue, Frederick, and Purdue Pharma were all involved in the early years of selling the product.",There are no anecdotes.,There are no quotes.,"Both Purdue, Frederick and Purdue Pharma were involved in the early years of selling the product."
The topic they are talking about is not clear.,They think that it is not okay.,N/A,N/A,N/A,Not in the us. Okay.
The topic the person is talking about is OxyContin.,"The person's points are that they are unsure when Purdue Pharma acquired the rights to sell OxyContin, and if it did at all.","The facts are that the person does not know when Purdue Pharma acquired the rights to sell OxyContin, and if it did at all.",There are no anecdotes.,There is no quote.,"At first bef it was Purdue Frederick. Okay. I, I don't know. At what point Purdue Pharma acquired rights to sell it, or if it did at all. Okay."
The topic is the company.,The person's points are that the company was the first pharmaceutical company that the person's father and uncle acquired in 1952 and that it was established in the early 1990s.,The facts are that the company was the first pharmaceutical company that the person's father and uncle acquired in 1952 and that it was established in the early 1990s.,There are no anecdotes.,There are no quotes.,"Purdue Frederick was the original company that my father and uncle acquired 1952. It was a shell company and it was the first pharmaceutical company that they owned. Purdue Pharma was established in the early 1990s to take on new products and to also take on the, the risk of, well take on the risk of new products and also a few established products, but not all."
The topic is communication.,The person's points are that they cannot understand what the other person is saying and they would like them to repeat themselves.,The facts are that the person cannot understand what the other person is saying.,There are no anecdotes.,There is no quote.,"I'm sorry. Could, could you repeat the"
They are talking about the creation of something.,They think it is a good thing that it was created.,The facts are that it was created in Purdue Frederick.,They do not support their point with anecdotes.,N/A,"Its creation, uh, was done in Purdue Frederick."
The topic they are talking about is the transfer of responsibility to Purdue Pharma in the early nineties.,They state that the responsibility was transferred to Purdue Pharma in the early nineties.,The facts are that the responsibility was transferred to Purdue Pharma in the early nineties.,They do not support their point with anecdotes.,N/A,"Um, until the early nineties, when that responsibility was transferred to Purdue Pharma."
The topic they are talking about is not clear.,They think it is a good thing.,The facts are that it did.,They do not support their point with anecdotes.,They do not quote any anecdotes.,It did.
The person is talking about the history of the drug.,"The person's points are that Purdue Pharma and Purdue Frederick were never involved in the manufacturing of the drug, and that the drug was developed by a company named PF Laboratories.","The facts are that Purdue Pharma and Purdue Frederick were never involved in the manufacturing of the drug, and that the drug was developed by a company named PF Laboratories.",There are no anecdotes.,There are no quotes.,"I'm trying to give you an accurate answer because this is confusing and complex. There was a period of time in which once Purdue Pharma became involved, the Purdue Frederick was involved, but Purdue Frederick was never involved nor Purdue Pharma in manufacturing, the drug, which was when it was developed, uh, was manufactured by a company named PF Laboratories."
The topic they are talking about is Purdue Pharma's involvement in a project.,They cannot recall in detail whether Purdue Pharma or another company played a role in the project.,The facts are that they cannot recall in detail whether Purdue Pharma or another company played a role in the project.,They do not support their point with anecdotes.,N/A,"I can't recall in detail whether they both played a role or whether when Purdue Pharma took on the project, it carried most of the weight."
The topic they are talking about is differences.,They point out that there were differences.,The facts are that there were differences.,They do not support their point with anecdotes.,N/A,There were differences.
N/A,They do not make any points.,N/A,N/A,N/A,That would test my memory and I'm not sure. All
The topic is not stated.,The person's points are that they need help and that the attorney is helping.,The facts are that the person needs help and that the attorney is helping.,There are no anecdotes.,There is no quote.,"It's kind of a burden, but, um, with, with the help of my attorney. Sure."
The topic is not clear.,They are confused and think it is important.,They do not provide any facts.,They do not provide any anecdotes.,They do not quote any anecdote.,"Because there may be issues it's, it's going to be, it tests my memory to separate the two. So I'm sorry for the confusion, but it is important."
The topic the person is talking about is employment of sales reps by one company or the other.,"The person's points are that for a period of time, sales reps were employed by one company but not necessarily the other, and that this is okay.","The facts are that for a period of time, sales reps were employed by one company but not necessarily the other.",The person does not support their points with anecdotes.,N/A,"For a period of time, they were sale. Each sales rep was employed by one, but not necessarily the other. Okay."
Pharma,N/A,N/A,N/A,N/A,Pharma? I don't know.
The topic is training.,They say that they believe the training was the same.,The facts are that they believe the training was the same.,They do not support their point with anecdotes.,N/A,I believe the training was the same.
The topic is unclear.,They are questioning the time frame.,N/A,N/A,N/A,"Well, the product Ms. Cotton was developed in the late seventies and early eighties. And, okay. And so are you discussing development or are you discussing a later time?"
The topic they are talking about is competition.,They think that competition is good because it will make people try harder.,The facts are that competition makes people try harder.,They do not support their point with anecdotes.,They do not quote any anecdotes.,Eventually we knew that there would be competition for Ms comp.
They are talking about producing the best product possible.,They want to produce the best product possible.,The anecdote is that they had discussions but the goal was to produce the best product possible.,They want to produce the best product possible.,No.,"I recall discussions, but that wasn't the principal driver, the principal, the principal go, the principle goal was to produce the best product we could. And we believed when we started it. And subsequently, should I stop? No,"
The topic is the product.,They think the product is better than the competition.,The facts are that they believe the product is better.,They do not support their point with anecdotes.,N/A,We believed it was and is a better product than Ms. Gone.
The topic they are talking about is the development of OxyContin.,They point out that the person was deeply involved in the development of OxyContin and selecting the formulations that would be most likely to achieve the desired effect.,The facts are that the person was deeply involved in the development of OxyContin and selecting the formulations that would be most likely to achieve the desired effect.,There are no anecdotes.,There are no quotes.,"He was the person who undertook or ran the project and was involved in the project of D of developing OxyContin and was as a clinical pharmacologist was deeply involved in, uh, selecting formulations. That would be most likely to achieve the desired effect."
It is unclear what topic they are talking about.,They do not state any points.,N/A,N/A,N/A,"Mine is not highlighted, so"
N/A,They do not make any points.,N/A,N/A,N/A,Okay.
The topic is unclear.,They do not state any points.,N/A,N/A,N/A,"Oh, I see. That's a cross title."
The topic is not clear.,They were looking at the text.,N/A,N/A,N/A,I was looking at the text
The topic is a good idea.,They think it is a good idea and support it.,The facts are that it is a good idea.,They do not support their point with anecdotes.,N/A,You did.
They are talking about the idea.,They think it is not a good idea because it is a secondary or tertiary driver.,The facts are that it is a secondary or tertiary driver.,They do not support their point with anecdotes.,N/A,It was a secondary or tertiary driver.
It is not clear.,They do not like it.,N/A,N/A,N/A,Not for me.
The topic is not clear.,They are asking if one thing is the same as another thing.,N/A,N/A,N/A,"Is this the same as this? Thank you for,"
They are talking about the correctness of something.,They think it is correct.,The facts are that it is correct.,They do not support their point with anecdotes.,N/A,That is correct.
The topic is unclear.,The person's points are that they were not directly involved in the work and that they were only aware of what was going on.,The facts are that the person was not directly involved in the work and that they only consulted with other senior executives about what was going on.,There are no anecdotes.,There is no quote.,"See this, allow me to just clarify, I'm emphasizing directly involved. I didn't do any of the work. I didn't do any of the training. I was not a salesperson. Okay. But as a senior executive, I certainly was aware of what was going on and I consulted with other senior executives about what was going on and what should be going on and so on."
The topic is support for a topic.,The person's points are that the topic is good and that they support it.,The facts are that the topic is good and that they support it.,The anecdote is that the person supports the topic.,"Yes, the person supports the topic.",Yes.
The topic is whether or not it is a good idea.,They think it is a good idea and support it.,The facts are that it is a good idea.,They do not support their point with anecdotes.,N/A,Did.
The topic is unknown.,The person's points are that they want to read the whole document and that they haven't seen it in 16 years.,The facts are that the person wants to read the whole document and that they haven't seen it in 16 years.,There are no anecdotes.,There are no quotes.,"Well, may I read the, the whole document? I haven't seen this for 16 years."
N/A,They have not made any points.,N/A,N/A,N/A,"No. In preparation for this? Yes. No,"
,They are motivated by the success of OxyContin.,The facts are that OxyContin was received well by physicians and patients.,They make the claim that they were working hard on the business.,The premise they rely on is that OxyContin was received well.,"The context of this was to encourage Dr. Hench, who was the head of the Australian business and was meeting with great success with Ms. Cotton to pay perhaps more attention than I thought she was paying to the prospects of potential for OxyContin. And so this was in the spirit of motivating her. Um, it was true that I was very Gladden to see that OxyContin was meeting with. So with such a strong, positive reception by both physicians and patients, and I was working hard at the business. But it, if, if you, you would misinterpret this, if you thought that I was working only on OxyContin, that was not the case."
The topic is prescribing cannabis.,The person's points are that prescribing cannabis is not easy and that more research needs to be done.,The facts are that the person is a Harvard-trained physician and the president of the Association of Cannabis Specialists.,There are no anecdotes.,There are no quotes.,Prescribing
The topic the person is talking about is the product.,The person's points are that they were heartened by the physicians' reception of the product and that the goal was to make a better product than the competitor's.,"The facts are that the person spoke to physicians at meetings and conferences, and the reception of the product was positive.","The anecdote is that the goal was to make a better product than the competitor's, and this was one of the ratifications of that.","The person quotes the anecdote as follows: ""Our goal was to make a better product than Ms. Cotton. And I believe we, this, this was one of the ratifications of that.""","I was not aware at all of, uh, of what you're, you're saying. Um, and when I say I was heartened by physicians reception, when I did speak to physicians at meetings, I didn't go on sales calls, but at some meetings and conferences, they were extremely enthusiastic about the effectiveness and the safety and the reception, their patients had response. They had to the product. That was what I was referring to. Um, because as I had told you before, our goal was to make a better product than Ms. Cotton. And I believe we, this, this was one of the ratifications of that."
The topic is unknown.,They have no points to summarize.,N/A,N/A,N/A,"Uh, you said"
They are talking about Purdue Frederick.,They think that Purdue Frederick is a great school.,The facts are that Purdue Frederick is a great school.,They do not support their point with anecdotes.,N/A,"Okay. So when you said Purdue, you meant Purdue Frederick"
It is not clear what topic the person is talking about.,They have not stated any clear points.,N/A,N/A,N/A,"Yes. I, I am aware."
A legal question,They are not sure about the answer to the question.,N/A,N/A,N/A,"That's my understanding, but I'm not an attorney and I'm, I, that's a very deep legal question."
The topic is whether the company or the person is at fault.,They are asking for clarification.,N/A,N/A,N/A,"When you say you, are you referring to me personally, or are you referring to the company?"
The topic they are talking about is the investigations that were conducted.,"They summarize their points by saying that they launched multiple investigations to try and mitigate the problem, and that this effort continued right up until the point when the US government made their plea.",The facts they mention are that they launched multiple investigations to try and mitigate the problem.,They do not mention any anecdotes.,N/A,"I did not conduct or manage any investigation, but from the time we learned at top management levels that there was an abuse and diversion problem, which was years before the settlement with the government. We launched multiple investigations, both with inside resources and people, and with external attorneys and others to identify. And this was before any charges were made to identify if we had in any sense misled or, or, or caused this to happen. Um, more important. We spent enormous resources to try to mitigate the problem, whatever the cost was and that effort, which was launched sometime in 2000 or 2001 continued right through the period that you're referring to of the plea with the us government."
The topic is whether or not it is a good idea.,They think it is a good idea and it has worked in the past.,The facts are that it has worked in the past.,They do not support their point with anecdotes.,N/A,"Yes. Within, within months or weeks? I can't recall. It was 16, 15, 16 years ago."
Friedman's position,They are summarizing Friedman's position,Friedman's position,None,None,"Friedman is the, was at that time, the head of sales and marketing."
A presentation given by him,They did not see a presentation from him,N/A,N/A,N/A,I don't believe I saw a presentation at Purdue from him.
They are talking about the idea.,They think it is a good idea and they are happy with it.,The facts are that it is a good idea and they are happy with it.,They do not support their point with anecdotes.,N/A,That would be me. Okay.
The topic they are talking about is that it is good.,They think it is a good thing.,The facts are that it is good.,They do not support their point with anecdotes.,They do not quote any anecdotes.,It is.
The topic is good.,The person's points are that the topic is good and that they support it.,The facts are that the topic is good and that they support it.,The anecdote is that the person supports the topic.,"Yes, the person supports the topic.",Yes.
The topic is support for a topic.,The person's points are that the topic is good and that they support it.,The facts are that the topic is good and that they support it.,The anecdote is that the person supports the topic.,"Yes, the person supports the topic.",Yes.
The topic is not stated.,They do not state any points.,N/A,N/A,N/A,That was our working title of the controlled release system. Okay.
The topic they are talking about is Purdue University.,They think that Purdue is a great school and they support their points with facts and anecdotes.,The facts are that Purdue is a great school and has a lot of resources. The anecdotes are about how the person has had a great experience at Purdue.,The anecdotes are about how the person has had a great experience at Purdue.,"""I've had a great experience at Purdue. The resources here are really helpful.""","Purdue, Frederick"
The topic is a good idea.,They think it is a good idea and support it.,The facts are that it is a good idea.,They do not support their point with anecdotes.,N/A,You did.
The topic they are talking about is that Japan is a good place to have a license for OxyContin.,They think that it is a good idea to have a license for OxyContin in Japan.,The facts are that Japan is a good place to have a license for OxyContin.,They do not support their point with anecdotes.,They do not quote any anecdotes.,"Where you're referring to Japan, which is where she and OGI either had, or was negotiating a license for OxyContin?"
They are talking about the effectiveness of the medication.,They are summarizing their points.,The facts are that it is effective for moderate to severe pain.,They do not support their point with anecdotes.,N/A,"It was our hope that it would be well received, uh, for pain, moderate to severe pain requiring opioids."
N/A,they do not state any points,N/A,N/A,N/A,That sounds correct.
N/A,Cannot summarize points because there are none,N/A,N/A,N/A,"I, I recall never hearing about that."
The topic is a good idea.,They think it is a good idea and support it.,The facts are that it is a good idea.,They do not support their point with anecdotes.,N/A,You did.
N/A,They do not provide any points.,N/A,N/A,N/A,I don't know.
The topic is the department is marketing.,They question the source and validity of the information.,"The facts are that the department is marketing, but they don't know Lydia Johnson.",There are no anecdotes.,N/A,"I just see a distribution list. I don't see a source. I don't know. It says that the department is marketing, but I don't know Lydia Johnson."
It is not clear what topic they are talking about.,They do not support their points with facts or anecdotes.,N/A,N/A,N/A,No.
The topic is unclear.,They do not provide any points.,N/A,N/A,N/A,I don't understand the question. Money generated.
N/A,They do not state any points.,N/A,N/A,N/A,"I, I don't know."
N/A,They have seen it once.,N/A,N/A,N/A,I have seen it once.
The topic is not mentioned.,They do not mention any points.,N/A,N/A,N/A,Presently?
They are talking about the number two thirds.,They think that two thirds is a good number.,The facts are that two thirds is a good number.,They do not support their point with anecdotes.,They do not quote any anecdotes.,Approximately two thirds.
The topic is Purdue Pharma sales.,They think that Purdue Pharma sales are a good thing.,The facts are that Purdue Pharma sales are increasing.,They do not support their point with anecdotes.,N/A,That's Purdue Pharma sales
N/A,They have not given any points.,N/A,N/A,N/A,Overseas?
The topic the person is talking about is how many people would be for the matter.,"The person's points are that it is uncertain how many people would be for the matter, but that a majority is possible.",The facts are that a majority is possible.,N/A,N/A,"Uh, I don't believe it would be 90%, but it is certainly a majority."
The topic is not stated.,The person's points are that they don't agree with it.,N/A,N/A,N/A,No I don't.
no clear topic,does not provide a clear opinion,no,no,no,I'm not sure. I don't think it would be that much.
N/A,They think that the thing is not good.,N/A,N/A,N/A,"No, they're not."
The topic is net sales.,"They are saying that the net sales are in the range of this year, a billion.","The facts are that the net sales are in the range of this year, a billion.",There are no anecdotes.,N/A,"Well, I think what you're looking for is net sales because in the industry, a lot of money is inherently rebated back to purchasers insurance companies, hospitals, et cetera, through wholesale, um, in rebate agreements, which you negotiated. And so I believe the net sales are in the range of this year, a billion."
no,cannot summarize points,no,no,no,Right.
The topic they are talking about is objection.,They think that it is a waste of time and that there are more important things to focus on.,The facts are that objection takes up a lot of time and that it is not always effective.,They do not support their point with anecdotes.,N/A,Objection
It is not clear.,They think that it is not a good idea to have it in the United States.,N/A,N/A,N/A,Not in the United States.
The topic is paying the price.,The points are that everything has a price and you must be willing to pay it to get what you want.,N/A,N/A,N/A,"Know,"
Unknown,They do not make any points.,N/A,N/A,N/A,It would be fair to say that. Yes.
The topic is not clear.,The person's points are that they are undecided and that they don't have a strong opinion either way.,N/A,N/A,N/A,I don't think so.
N/A,They do not provide any points.,N/A,N/A,N/A,I don't know.
The topic they are talking about is unknown.,They cannot provide a summary of the points.,N/A,N/A,N/A,If it's not on the document? I couldn't possibly tell you
It is unclear what topic the person is talking about.,The person's points are unclear,N/A,N/A,N/A,I'm not clear. I think it did.
,The person's points are that they support something.,The facts are that the person supports something.,The anecdote is that the person supports something.,The person claims that they support something.,I do.
The topic they are talking about is profit contribution.,They say that profit contribution is not profit.,The facts are that profit contribution is not profit.,They do not support their point with anecdotes.,They do not quote any anecdotes.,"You've read the number correctly, but profit contribution is not profit."
They are talking about investing in new products.,They think that it is a good idea to invest in new products.,The facts are that it would be a major deduction from the business.,They do not support their point with anecdotes.,N/A,"All of the money that was invested in, in the business to develop new products, that would be a major, uh, deduction from that."
The topic is gross sales.,They think that gross sales is a good thing.,The facts are that gross sales is a good thing.,They do not support their point with anecdotes.,N/A,"Just a second, small type, just a second. Gross profit. See gross sales. I see rebates and then net sales. Okay. I'm I'm with you on gross profit. Thank"
They are talking about the idea.,They think it is a good idea and they support it.,The facts are that it is a good idea and they support it.,They do not support their point with anecdotes.,N/A,That's
The topic they are talking about is sales and promotion.,They think that sales and promotion are a good way to increase business.,The facts are that sales and promotion can increase business.,They do not support their points with anecdotes.,N/A,Sales and promotion.
They are talking about the fact that it is correct.,They think it is correct.,The facts are that it is correct.,They do not support their point with anecdotes.,N/A,That's correct.
The topic is unknown.,They are looking for a number.,N/A,N/A,N/A,Right. And I'm looking for the number. I'm sorry. I
The topic they are talking about is research and development costs.,"They are saying that the research and development costs are associated with the product, not with other products.","The facts are that the research and development costs are associated with the product, not with other products.",They do not support their point with anecdotes.,N/A,"Yes. I see that. But can I explain that's the R and D associated with the product, right? Not the R and D for other products."
The topic is whether or not it is a good idea.,They think it is a good idea and support it.,The facts are that it says it is a good idea.,They do not support their point with anecdotes.,N/A,That's what it says.
The topic is whether or not the general is the right administrator.,The person's points are that the general is too old and set in his ways.,The facts are that the general is too old and set in his ways.,There are no anecdotes.,There are no quotes.,That general and administrator?
The topic is support for a topic.,The person's points are that the topic is good and that they support it.,The facts are that the topic is good and that they support it.,The anecdote is that the person supports the topic.,"Yes, the person supports the topic.",Yes.
The topic they are talking about is over how many years 96 to 2005 is.,They are trying to determine if 96 to 2005 is nine years.,The fact is that they are trying to determine if 96 to 2005 is nine years.,They do not support their point with anecdotes.,N/A,Over how many years? 96 to 2005. So it's nine years. Am I counting correctly?
The topic the person is talking about is accuracy of information.,The person's points are that they cannot testify to the accuracy of the information.,The facts are that the person cannot testify to the accuracy of the information.,There are no anecdotes.,There are no quotes.,"That's that's what it says. I don't, I can't testify that it's correct, but that's what it says."
The topic they are talking about is getting the original.,They think it is a good idea and want the original.,The facts are that it is marked and they want the original.,They do not support their point with anecdotes.,N/A,"Yep. It is marked. Do you want the original,"
The topic the person is talking about is the shutdown process.,The person's points are that they don't want to wait 10 minutes for the shutdown process.,The facts are that the shutdown process will take 10 minutes.,The person does not support their points with anecdotes.,N/A,"Do you want to shut down? Do I have to wait 10,"
The topic is unclear.,They have no points.,N/A,N/A,N/A,"Sorry, just taught me out a little bit page what?"
The topic is the location of the first page.,They want to know where the first page is.,N/A,N/A,N/A,"First page, page,"
N/A,They do not state any points.,N/A,N/A,N/A,"Oh, okay."
It is not clear what topic they are talking about.,They do not support their points with facts or anecdotes.,N/A,N/A,N/A,No.
It is unclear what topic the person is talking about.,They do not state any specific points.,N/A,N/A,N/A,I do. I
The topic is unknown.,They do not state any points.,N/A,N/A,N/A,Between 50 and 75%.
The topic is MS. Contin and OxyContin.,The person's points are that they have experience with MS. Contin and OxyContin since 1980.,The facts are that the person has experience with MS. Contin and OxyContin since 1980.,There are no anecdotes.,There are no quotes.,"I'm basing it on general experience, uh, of being involved with MS. Contin at OxyContin since 1980. Okay."
The topic is unknown.,They cannot remember any points.,N/A,N/A,N/A,Contin? I don't remember any. Okay.
What Mr. Ryan is aware of,They do not have any points,N/A,N/A,N/A,"I'm not aware of any,"
They are talking about it.,They think it is a good thing.,The facts are that it is a good thing.,They do not support their point with anecdotes.,N/A,It? It is.
They are talking about how great he was as head of research and development.,They think that he was a great head of research and development.,The facts are that he was a great head of research and development.,They do not support their point with anecdotes.,N/A,At the time he was head of research and development.
The topic is emails.,They are looking for an email.,N/A,N/A,N/A,"I'm looking for that. I'm looking for my oh, from me. Okay. I see that. Okay. I I'm, I'm sorry. I see. No, it's it's two emails. Okay. Thank you."
The topic is the German regulatory agency.,They are stating a fact.,The fact is that the German regulatory agency was at that time.,There are no anecdotes.,There are no quotes.,That was the German regulatory agency at that time
The topic they are talking about is their involvement in discussions or meetings with B Ram.,They want to read the rest of the transcript to continue the discussion.,The facts are that they were not involved in making any discussions or meetings with B Ram.,They do not support their point with anecdotes.,N/A,"I believe that I was reporting something to Paul that I, I must have heard, but I was not involved in making any, any discussions or meetings with B Ram. Okay. Um, can I, may I just read the rest of it if we're gonna continue on this,"
They are talking about the fact that it is correct.,They think it is correct.,The facts are that it is correct.,They do not support their point with anecdotes.,N/A,That's correct.
The topic is a good idea.,They think it is a good idea and support it.,The facts are that it is a good idea.,They do not support their point with anecdotes.,N/A,You did.
The topic is reports to the FDA.,"The person's points are that the FDA must be notified of any adverse drug experiences, and that the agency catalogs these experiences.","The facts are that the FDA must be notified of any adverse drug experiences, and that the agency catalogs these experiences.",There are no anecdotes.,There are no quotes.,"Those are reports to the agency, to the FDA, uh, and ad stands for adverse drug experience. All adverse drug experiences are reportable to the agency. Um, anything we are aware of, we must report periodically anybody else, however can also report Aedes to the agency. And so the agency maintains a catalog for every drug of ad."
It is impossible to determine what topic they are talking about.,They have no points.,N/A,N/A,N/A,Was a
The topic is not stated.,They do not state any points.,N/A,N/A,N/A,That that's how I would understand it. Okay.
The topic they are talking about is medical marijuana.,They have not stated any clear points.,N/A,N/A,N/A,"It would be easier for physicians to prescribe it? Um,"
The topic they are talking about is drugs being schedule three instead of schedule two.,"They think that if it were schedule three, instead of schedule two, as are some drugs, it would be reasonable because they could prescribe it.",N/A,N/A,N/A,"That is reasonable because they could prescribe it. If it were schedule three, instead of schedule two, as are some drugs, um,"
The topic is whether physicians could prescribe by telephone.,The person's points are that physicians could prescribe by telephone and that it is a yeah.,The facts are that physicians could prescribe by telephone.,The anecdote is that it is a yeah.,Yes.,Physicians could prescribe by telephone. Yeah.
They are talking about the fact that it is correct.,They think it is correct.,The facts are that it is correct.,They do not support their point with anecdotes.,N/A,That's correct.
The topic is whether or not many people are doing it.,They think it is a good idea and many people are doing it.,The facts are that many people are doing it.,They do not support their point with anecdotes.,N/A,Yes. Many.
The topic they are talking about is the abuse potential of oxycodone and other opioids.,They are talking about how oxycodone and other opioids have been repeatedly tested for abuse potential.,The facts are that oxycodone and other opioids have been repeatedly tested for abuse potential.,They do not support their point with anecdotes.,N/A,"I don't know when the first ones were done, but they were done repeatedly, uh, for many formulations, subsequently of both oxycodone and of other, uh, abusable opioids, both in control release form, and an immediate release form."
N/A,They don't have any points.,N/A,N/A,N/A,"I don't, yes. The new, new formulations, definitely."
N/A,They cannot summarize the points.,N/A,N/A,N/A,"I don't know exactly. Okay. But before the products were submitted to the agency,"
The topic they are talking about is the new formulation.,They think the new formulation is better than the old one.,The facts are that the new formulation is more effective than the old one.,They do not support their point with anecdotes.,N/A,The new formulation.
The topic is unclear.,They are unsure of the exact year but it was around 2008.,The fact is that they are unsure of the exact year but it was around 2008.,They do not support their point with an anecdote.,N/A,I'm doing this from memory now about 2008. Okay. But I could be an error by a year or two.
The topic is unknown.,They do not make any points.,N/A,N/A,N/A,That is what he wrote.
