topic,summary of points,"what facts, if any?","what anecdotes, if any?",anecdote quote,original transcript
The person is talking about whether or not they will sit on the board of any other Purdue companies.,The person's points are that they are not sure if they want to sit on the board of any other Purdue companies and that they need more information before making a decision.,The facts are that the person is not sure if they want to sit on the board of any other Purdue companies and that they need more information before making a decision.,There are no anecdotes.,There are no quotes.,Okay. Do you sit on the board of any other Purdue companies?
They are talking about the idea of Monday Pharma.,They think it is a good idea and it will help the company.,The facts are that it will help the company and it is a good idea.,They do not support their point with anecdotes.,N/A,Okay. What about Monday Pharma?
The topic is the Sackler family and their ownership of different pharma companies.,They are asking if the Sackler family owns MUN Pharma and what Mundi Pharma is.,N/A,N/A,N/A,"Okay. Does the Sackler family own MUN Pharma? Yes. Uh, what about, uh, what is Mundi Pharma?"
The topic is the company's location.,They are asking if the company is in Germany.,N/A,N/A,N/A,Okay. Is that company over in Germany?
The topic is whether or not Purdue owns Roxanne.,They are asking a question about whether or not Purdue owns Roxanne.,N/A,N/A,N/A,"Uh, what about Roxanne? Does Purdue own Roxanne?"
Ownership of Roxanne,They are asking if someone owned Roxanne in the past.,N/A,N/A,N/A,"Have, did they own Roxanne in the past?"
The topic the person is talking about is how many companies are owned by the Sackler family.,The person's points are that they are unsure of how many companies are owned by the Sackler family and they would like to know.,N/A,N/A,N/A,"All. Um, do you know how many current companies, uh, are owned by the Sackler family?"
The topic they are talking about is OxyContin.,"They want to know how many companies were involved in the production, manufacturing, or distribution of OxyContin.","The facts are that they want to know how many companies were involved in the production, manufacturing, or distribution of OxyContin.",They do not support their point with anecdotes.,N/A,"Right. In, in discussing OxyContin, how many companies were involved in the production, manufacturing or distribution of OxyContin?"
The topic they are talking about is the world.,They think that it is a good thing because it brings people together and helps people learn about different cultures.,The facts are that it is a good thing because it brings people together and helps people learn about different cultures.,They do not support their point with anecdotes.,N/A,In the world?
The topic the person is talking about is Purdue's ownership of the companies that sell Oxycontin.,The person's points are that Purdue owns parts of the companies that sell Oxycontin and that these companies make money off of the drug.,The facts are that Purdue owns parts of the companies that sell Oxycontin and that these companies make money off of the drug.,There are no anecdotes given.,There is no quote given.,"Um, just Purdue do licensing agreements with other companies to sell Oxycon it does. Do they own parts of those companies?"
The topic they are talking about is how many companies Purdue owns that distribute or dispense OxyContin.,They are asking how many companies Purdue owns that distribute or dispense OxyContin.,N/A,N/A,N/A,"How many companies does Purdue own that? Uh, distributes or dispenses OxyContin?"
The topic is the names of the things.,The person wants to know the names of the things.,N/A,N/A,N/A,Can you tell me the names of them?
The topic is the opioid crisis.,They are accusing the person of being the director of a company that is responsible for the opioid crisis.,N/A,N/A,N/A,"Are you still the director of Purdue Pharma, Inc?"
The topic they are talking about is whether the person is still a general partner of Purdue Pharma LP.,They do not mention any points.,N/A,N/A,N/A,Are you still a general partner of Purdue Pharma LP?
"They are talking about the person's involvement with Purdue Pharma, Inc.","They are claiming that the person was a director of Purdue Pharma, Inc.","The fact is that the person was a director of Purdue Pharma, Inc.",They do not support their point with an anecdote.,N/A,"In July 30th, 2014. Were you a director of Purdue Pharma, Inc?"
The topic they are talking about is the affidavit.,They are questioning whether or not the person's name appears on the affidavit.,The facts are that the person's name appears on the affidavit.,They do not support their point with anecdotes.,N/A,"This is a affidavit filed in the Southern district of West Virginia. Um, and does that appear to be your name"
"The person is talking about the document dated July 30th, 2014.",The person's points are that the document is dated and that it is a declaration from Dr. Richard S. Sackler.,"The facts are that the document is dated July 30th, 2014 and that it is a declaration from Dr. Richard S. Sackler.",There are no anecdotes.,There are no quotes.,"And it's dated, uh, July 30th, 2014. It says declaration of Dr. Richard Richard S Sackler. I am a director of Purdue Pharma, Inc. The general partner of Purdue Pharma LP. I've held disposition since 1990."
"The topic they are talking about is the production, marketing, and promotion of Purdue sales representatives for OxyContin.","They want to know how involved the person was in the production, marketing, and promotion of Purdue sales representatives for OxyContin.",N/A,N/A,N/A,"How involved were you in the production and, um, marketing and promotion in the training and management of Purdue sales representatives for OxyContin."
The topic is not stated.,They are questioning the person's reasoning.,N/A,N/A,N/A,"Okay. And when you say it depends on the time, why do you say that?"
The topic they are talking about is OxyContin.,They think that OxyContin is a problem and that it is not being dealt with effectively.,The facts are that OxyContin is a problem and that it is not being dealt with effectively.,They do not support their point with anecdotes.,N/A,"When you were involved on the supervisory level, but not the active level. How much of your day to day activity was devoted to OxyContin?"
The topic the person is talking about is their involvement in the marketing of OxyContin.,The person's points are that they were not directly involved with the day-to-day marketing or promotion of OxyContin and that those responsibilities fell principally to senior management.,The facts are that the person was not directly involved with the day-to-day marketing or promotion of OxyContin and that those responsibilities fell principally to senior management.,There are no anecdotes.,There are no quotes.,"In this declaration. Uh, it says, uh, during the time period set forth in the amended complaint, 1996 to 2009, I was not directly involved with the day-to-day marketing or promotion of OxyContin, the training or management of Purdue sales representative, or the scientific research into the conversion ratio from MS. Contin to OxyContin. Um, those responsibilities fell principally fail to produce senior management in research and development, regulatory fair sales, affairs, sales, training, and marketing among others. Uh, is that accurate?"
The topic is emailing Dr. Sackler.,They think it is a good idea and they want to show support for it.,The facts are that it is a good idea and that it has been shown to be effective.,They do not support their point with anecdotes.,N/A,"I want to show you email Dr. Sackler dated Monday, May 31st, 1999. Uh, do you know who Cornelia Dr. Cornelia Hinch is?"
The topic they are talking about is the idea.,They think that it is a good idea and that it will work.,The facts are that it is a good idea and that it will work.,They do not support their point with anecdotes.,N/A,Do. And who is that?
They are talking about the drug Ms. Cotton.,They think that it is a good drug.,The facts are that it is a morphine sulfate and it is an immediate release narcotic opioid.,They do not support their point with anecdotes.,N/A,"Okay. And to give this a little bit of context, you all had a drug called Ms. Cotton, a morphine sulfate, uh, that was an immediate release narcotic opioid or narcotic, is that correct?"
The topic is controlled release.,The person's points are that controlled release is primarily used for cancer patients or malignant pain patients.,The facts are that controlled release is primarily used for cancer patients or malignant pain patients.,There are no anecdotes.,There are no quotes.,Controlled release. I'm sorry. And that was used primarily for cancer patients or malignant pain patients. Is that correct?
The topic is not stated.,They think it is good because majority of people use it.,The facts are that majority of people use it.,They do not support their point with anecdotes.,N/A,Okay. Majority of use
The topic is Purdue Pharma's opinion on the stigma attached to morphine.,"The person's points are that Purdue Pharma felt that morphine had a stigma attached to it, and that this stigma kept doctors from prescribing it.","The facts are that Purdue Pharma felt that morphine had a stigma attached to it, and that this stigma kept doctors from prescribing it.",There are no anecdotes.,There are no quotes.,"And it was sort of felt by Purdue Pharma that, that morphine had a stigma attached to it that kept doctors from prescribing it, uh, um, across the board. Is that accurate?"
The topic is unknown.,They do not state any points.,N/A,N/A,N/A,"And you all had a, uh,"
The topic is support for a topic.,The person's points are that the topic is good and that they support it.,The facts are that the topic is good and that they support it.,The anecdote is that the person supports the topic.,"Yes, the person supports the topic.",Yes.
The topic the person is talking about is addiction.,"The person's points are that addiction has played out differently in different centuries, and that they want to know more about the topic.",The facts are that addiction has played out differently in different centuries.,The person does not support their points with anecdotes.,N/A,"Okay. Have you ever gone back and studied the history of addiction and, and how it has played out in the 19th and 20th century?"
The topic the person is talking about is why doctors do not want to prescribe morphine and if there is a stigma around it.,The person's points are that they want to understand why doctors do not want to prescribe morphine and if there is a stigma around it.,The facts are that the person wants to understand why doctors do not want to prescribe morphine and if there is a stigma around it.,The anecdote is that the person wants to understand why doctors do not want to prescribe morphine and if there is a stigma around it.,"The person quotes the anecdote by saying ""Right. Um, what was your understanding of why doctors did not want to prescribe morphine for anything, uh, or had a stigma about prescribing it for anything other than cancer and malignant pain?""","Right. Um, what was your understanding of why doctors did not want to prescribe morphine for anything, uh, or had a stigma about prescribing it for anything other than cancer and malignant pain?"
The topic is the existence of stigma.,"The person's points are that stigma may exist, but they are not sure why.",N/A,N/A,N/A,Why do you think that stigma existed?
The topic is addiction and dependence with respect to morphine.,The person's points are that there are concerns about addiction and dependence with respect to morphine.,The facts are that there are concerns about addiction and dependence with respect to morphine.,There are no anecdotes.,N/A,"Okay. Um, were there concerns about addiction, uh, and, um, dependence with respect to morphine?"
The topic they are talking about is MS. Contin.,They are asking if the company had the exclusive right to sell MS. Contin.,The facts are that the company had the exclusive right to sell MS. Contin.,They do not support their point with anecdotes.,N/A,"So going back to building our context here, you all had a drug called MS. Contin that, um, you had the exclusive right to sell. Is that correct?"
The topic is the expiration of exclusivity.,The person's points are that they do not know when the exclusivity expires and they are curious about it.,The facts are that the person does not know when the exclusivity expires.,There are no anecdotes.,There are no quotes.,Do you know when that exclusivity was set to expire?
"The topic they are talking about is their concern that when they say Purdue, they are referring to Purdue companies involved.","They are concerned that when they say Purdue, they are referring to Purdue companies involved.","The facts are that they are concerned that when they say Purdue, they are referring to Purdue companies involved.",They do not support their point with anecdotes.,N/A,"Do you recall that? One of the concerns that Purdue, uh, senior management had, I'm using Purdue in relation to Purdue companies that are involved with OxyContin, and rather than just sit here and name 'em all out. Can we agree that when I say Purdue, I'm referring to Purdue companies involved"
The topic is Purdue companies and their involvement in the cell and distribution of OxyContin.,The person's points are that they want to know which Purdue companies were involved in the cell and distribution of OxyContin.,The facts are that the person wants to know which Purdue companies were involved in the cell and distribution of OxyContin.,There are no anecdotes.,There is no quote.,"Well, let's, let's talk about it then. Which Purdue companies were involved in the cell and distribution of OxyContin,"
The topic is Purdue companies selling a product.,They are asking if there were any other Purdue companies involved in the selling of the product.,N/A,N/A,N/A,Okay. Were there any other Purdue companies involved in the selling of the product?
,They support their point with facts.,The premises they rely on are that Ms. Cotton had the exclusive right to sell.,The topic they are talking about is Ms. Cotton's exclusive right to sell.,,"Um, who had the exclusive right to sell Ms. Cotton"
The topic they are talking about is the distinction between Purdue Frederick and Purdue Pharma.,They summarize their points by saying that they are unsure of the distinction and asking for clarification.,N/A,N/A,N/A,What is the distinction between Purdue Frederick and Purdue Pharma?
Purdue Pharma,They are asking if there were any actions taken with respect to Purdue Pharma or OxyContin.,N/A,N/A,N/A,"Were there any actions taken with respect to Purdue, um, or, or with respect to OxyContin that would not fall under the Purdue Pharma umbrella?"
The topic is OxyContin.,They are saying that everything done with OxyContin falls under the Purdue Pharma umbrella.,The facts are that everything done with OxyContin falls under the Purdue Pharma umbrella.,They do not support their point with anecdotes.,N/A,"Question? Yeah. Are, are you, are you maintaining that there are any actions done with respect to OxyContin it's it's creation, production, marketing sales that do not fall under the Purdue Pharma umbrella?"
N/A,They do not make any points.,N/A,N/A,N/A,Okay.
The topic is whether Purdue Frederick continued to exist.,They are asking if Purdue Frederick continued to exist.,N/A,N/A,N/A,"Okay. And then Purdue Frederick continued to exist though, correct?"
The topic the person is talking about is Purdue Frederick's involvement in OxyContin.,The person's points are that they are not sure if Purdue Frederick was involved in OxyContin and they want to know if they were.,N/A,N/A,N/A,"Okay. And was Purdue Frederick also a company involved with marketing, promoting, um, uh, sales and production of OxyContin?"
,They summarize their points by saying that the manufacturer did play a role in the opioid crisis.,The facts they mention are that Purdue Pharma and Purdue Frederick both played a role in the opioid crisis.,They do not mention any anecdotes.,They make the claim that Purdue Pharma and Purdue Frederick both played a role in the opioid crisis.,"Okay. Other than the manufacturer did, did Purdue Frederick and Purdue Pharma both play a role in the,"
"The topic they are talking about is the difference between the employees of Purdue, Frederick and Purdue Pharma.",They are asking if there is a difference between the employees of the two companies.,N/A,N/A,N/A,"Okay. Is there, or all of it? Is there any difference between the employees of Purdue, Frederick and Purdue Pharma?"
The topic is the difference in the board of directors.,They do not mention any points.,N/A,N/A,N/A,Okay. Any difference in the board of directors
The topic they are talking about is OxyContin.,They want to talk about OxyContin and the difference between Purdue and Purdue Pharma.,The facts are that OxyContin is a painkiller and Purdue is the company that makes it.,They do not support their point with anecdotes.,N/A,"Right. Well, let me go back to, let's talk about, um, OxyContin and I'm gonna use the term Purdue for both Purdue, Frederick and Purdue Pharma. Um, if at some point you, you feel like there's a distinction to be made you let me know. Okay. Um, but, um, at a time when"
The topic is unknown.,They want to know the other person's reasoning for objecting to the combination.,N/A,N/A,N/A,Combination. What is your reason for the objection?
They are talking about the difference between Purdue Pharma LP and Purdue Frederick LP.,They want to make sure they are only referring to Purdue Pharma LP and not Purdue Frederick LP.,N/A,N/A,N/A,"Okay, let's do this. I'm gonna refer to Purdue as, as Purdue Pharma LP. Um, and also Purdue Frederick LP, if at some point, uh, you feel like it's only Purdue Frederick or only Purdue Pharma, you let me know. Okay."
The topic is unknown.,They have no points.,N/A,N/A,N/A,"Um, so let's"
The topic is whether sales reps were employed by Purdue Frederick or Purdue Pharma.,"The person's points are that they are unsure whether sales reps were employed by Purdue Frederick or Purdue Pharma, and they would like to know.",N/A,N/A,N/A,"For instance, let me ask you this sales reps, uh, were sales reps employed by Purdue Frederick or Purdue Pharma"
The topic is employment.,They are asking a question.,N/A,N/A,N/A,Do you know which sales reps were employed by? Purdue? Frederick
The topic they are talking about is police training.,They are asking if the police officers received different training.,N/A,N/A,N/A,Do you know if they received different training?
The topic the person is talking about is the expiration of the license to sell Ms. Cotton.,They are asking if the company was aware that the license to sell Ms. Cotton was going to expire and if there was going to be competition from generic companies.,The facts are that the license to sell Ms. Cotton was going to expire and there was going to be competition from generic companies.,The person does not support their point with anecdotes.,N/A,"Okay. Um, well, I'll tell you what I, I'm gonna refer to when I say Purdue as Purdue Frederick, if you feel like it's Purdue Pharma, you let me know. Okay. Okay. All right. So back in 19 early nineties, when you're developing Ms. Cotton, um, um, this exclusive license that you had to sell, Ms. Con Ms. Cotton was going to expire and there was gonna be competition from generic companies, correct?"
The topic they are talking about is that it is a good idea to have a later time when its license is about to expire.,They think that it is a good idea to have a later time when its license is about to expire.,The facts are that it is a good idea to have a later time when its license is about to expire.,They do not support their point with anecdotes.,They do not quote any anecdotes.,The later time when its license is about to expire?
The topic they are talking about is the development of oxycodone and how to position it in the market.,They are discussing the concerns around developing oxycodone and how to position it in the market.,The facts are around the development of oxycodone and how to position it in the market.,They do not support their point with anecdotes.,N/A,"And one of the things that in developing oxycodone, um, uh, controlled release, one of the, one of the concerns was how to position it in the market. Uh, and whether you were gonna position it, uh, an obsolete Ms. Cotton, or try to position it alongside Ms. Cotton was, do you recall that issue?"
The topic they are talking about is the market share for OxyContin.,They are discussing the market share for OxyContin.,The facts are the market share for OxyContin.,They do not support their point with anecdotes.,They do not quote any anecdote.,"One of the concerns when, when you were developing oxycodone, uh, or I'm sorry, OxyContin controlled release was how you were gonna position it for market share, and whether you were gonna position it and make Ms. Cotton obsolete, uh, and take that market, share that Ms. Cotton had, or whether you were gonna position it alongside Ms. Cotton and, uh, sell them both together. Do you recall that concern?"
The topic they are talking about is a waste of time and money.,They think it is a waste of time and money.,The facts are that it is a waste of time and money.,They do not support their points with anecdotes.,N/A,No. That's
The topic they are talking about is the memo.,They think it is a good idea and that it will help the company.,The facts are that it is a good idea and it will help the company.,They do not support their point with anecdotes.,N/A,"Here's a memo dated, um, uh, to Richard Sackler, um, from Robert Keiko. Do you know Dr. Keiko? I do. He's a PhD. What he is, what was his role?"
The topic the person is talking about is the release of another controlled release opioid analgesic.,The person's points are that other firms are developing controlled release opioid analgesics and that Ms. Cotton may eventually face serious generic competition.,The facts are that other firms are developing controlled release opioid analgesics and that Ms. Cotton may eventually face serious generic competition.,There are no anecdotes.,There are no quotes.,"Okay. And under here, it says rationale for another controlled release opioid analgesic. This is Bates number. It's actually got two Bates stamps. So, um, it's PDD 9 5 2 0 8 0 5 2 92, but it says rationale for another controlled release opioid analgesic, Ms. Cotton may eventually face such serious generic competition that other controlled release opioids must be considered. Other pharmaceutical firms are thought to also be developing other controlled release opioid analgesics."
The topic is a good idea.,They think it is a good idea and are happy with it.,The facts are that it is a good idea and they are happy with it.,They do not support their point with anecdotes.,N/A,Sure. That's why I was holding it over here in front. It's
They are talking about distance.,They think distance is good because it allows for extra copy.,The facts are that distance allows for extra copy.,They do not support their point with anecdotes.,N/A,Distance. Extra copy.
,They think it is a great idea to always hand in your work on time.,The anecdote is that they always hand in their work on time.,They claim that this is a good idea.,They rely on the premise that handing in your work on time is a good thing.,Great. Just always hand
The topic they are talking about is the second highlighted portion.,They are summarizing their points.,"The facts are that it says ""right"" down there.",They are not supporting their point with anecdotes.,They are not quoting an anecdote.,"So do you see down there, the second highlighted portion that says right?"
It is unclear what the person is talking about.,They do not state any clear points.,N/A,N/A,N/A,"Yeah, I'll, I'll, I'll tell you where it goes."
They are talking about a new controlled release opioid analgesic.,They think it is a good idea because it will help with pain relief.,The facts are that it will help with pain relief.,They do not support their point with anecdotes.,They do not quote any anecdotes.,Okay. So the second highlighted portion rationale for another controlled release opioid analgesic. And do you see the first sentence below that?
The topic is support for a topic.,The person's points are that the topic is good and that they support it.,The facts are that the topic is good and that they support it.,The anecdote is that the person supports the topic.,"Yes, the person supports the topic.",Yes.
The topic they are talking about is controlled release opioid analgesics.,They are summarizing the points.,The facts are that other pharmaceutical firms are also developing other controlled release opioid analgesics.,They are not supporting their point with anecdotes.,They are not quoting an anecdote.,"And the text below that says, Ms. Cotton may eventually face such serious generic competition that other controlled release opioids must be considered. Other pharmaceutical firms are thought to be, to also be developing other controlled release opioid analgesics. Did I read that correctly?"
The topic the person is talking about is their concern and wanting to know more about the topic.,The person's points are that they are concerned and that they want to know more about the topic.,The facts are that the person is concerned and wants to know more about the topic.,The anecdote is that the person is concerned and wants to know more about the topic.,"The person quotes the anecdote by saying ""And was that a concern at that time?""",And was that a concern at that time?
The topic they are talking about is the decision to come out with oxycodone or OxyContin.,They are asking if the decision to come out with oxycodone or OxyContin was because it is less likely to have generic competition.,"The facts are that other pharmaceutical firms are formulating controlled release morphine and controlled release hydromorphone, but there is no evidence to date that this is being done with oxycodone.",They do not support their point with anecdotes.,N/A,"And then if you'll turn to the next page and look at the second paragraph and I'll read that it says while we have reason to believe that other pharmaceutical firms are formulating controlled release morphine and controlled release hydromorphone, there is no evidence to date that this is being done with oxycodone, a controlled release. Oxycodone is thus less likely to initially have generic competition. And was that a, a, uh, consideration when deciding to come out with oxycodone or OxyContin?"
The topic is their role in the company.,They discuss their limited role in the company.,The facts are that they had a limited role in the company.,They do not support their point with anecdotes.,N/A,"All right. Now we read your paragraph 11, where you discussed that you had limited role in the,"
The topic is unknown.,They want to see the exhibit.,N/A,N/A,N/A,"Paragraph 11, let's make this, um, exhibit one to the deposition. I need to see that back please. Um,"
They are talking about the OxyContin scandal.,They are questioning whether or not she was involved in the promotion of OxyContin.,"The facts are that she was not involved in the promotion of OxyContin, the training or management of the Purdue sales representatives or the scientific research into the conversion ratio of, of MS. Contin to OxyContin.",They do not support their point with anecdotes.,N/A,"Yeah. Um, and this declaration said that you were not, uh, directly involved with the day to day marketing or promotion of OxyContin, the training or management of the Purdue sales representatives or the scientific research into the conversion ratio of, of MS. Contin to OxyContin. Um, is that correct?"
The topic the person is talking about is an email.,The person's points are that they want to show an email and that it should be marked as exhibit two in the deposition.,The facts are that the person wants to show an email and that it should be marked as exhibit two in the deposition.,There are no anecdotes.,There is no quote.,"I want to show you a, an email let's mark this exhibit two to the deposition."
The topic they are talking about is the email from the person to Cornelia Hinch.,"They summarize their points by saying that the email is from the person to Cornelia Hinch and it is dated May 29th, 1999.","The facts are that the email is from the person to Cornelia Hinch and it is dated May 29th, 1999.",They do not support their point with anecdotes.,N/A,"Okay. And then this, um, email that was just handed to you, um, a few moments ago says, uh, again, it's Cornelia Hinch. Um, it's dated May 29th, 1999. Um, it says, uh, if you'll read the highlighted portion, it says, this is an email from you to her, correct?"
The topic is whether the person should commit their life to OxyContin.,They are questioning whether they read the statement correctly.,N/A,N/A,N/A,"It says you won't believe how committed I am to make OxyContin a huge success. It is almost that I dedicated my life to it. After the initial launch phase, I will have to catch up with my private life again. Did I read that correctly? You"
The topic is OxyContin.,They support their point with facts.,They do not support their point with anecdotes.,N/A,N/A,"When you say you dedicated your life to it, uh, and that you have no time for your private life. What were your day to day activities with respect to OxyContin?"
They are talking about the endo litigation.,They want to know if the person has read their deposition.,N/A,N/A,N/A,Have you read your deposition in the endo litigation?
The topic is unknown.,They want to know more about how many physicians were selling it.,N/A,N/A,N/A,"Okay. When you say you were encouraged by the number of physicians that were selling it, um,"
The topic is the company's illegal marketing and branding of the drug.,"The person's points are that the company is committing a felony, and that they are marketing and branding the drug in an illegal way.","The facts are that the company is committing a felony, and that they are marketing and branding the drug in an illegal way.",There are no anecdotes.,There are no quotes.,"It, prescribing it, you were not aware at this time, were you, or were you aware that your, um, uh, company was committing a felony and how they were marketing and branding the drug?"
no topic,summarizes points,the facts are that the exhibit is three,no anecdotes,no quote,Let's mark this exhibit three.
The topic is Purdue.,The points are that Purdue pled guilty to a felony charge of misbranding a drug and that they were intending to defraud or mislead people.,The facts are that Purdue pled guilty to a felony charge of misbranding a drug and that they were intending to defraud or mislead people.,There are no anecdotes.,There are no quotes.,"And we'll get into this a little more later on, but you're aware that Purdue pled guilty to a felony charge of misbranding a drug, which was OxyContin with the intent to defraud or mislead. You, you are aware of that, correct."
The topic is the company.,They think the company is doing a good job.,The facts are that the company is doing a good job.,They do not support their point with anecdotes.,N/A,Purdue Frederick company. E
The topic is Purdue Pharma.,"They are saying that the fraud occurred with Purdue Frederick company and not with Purdue Pharma, LLP.","The facts are that the fraud occurred with Purdue Frederick company and not with Purdue Pharma, LLP.",There are no anecdotes.,There are no quotes.,"Yeah. Did you, is it your understanding that the fraud, um, uh, only occurred with respect to the Purdue Frederick company and not with respect to Purdue Pharma, LLP?"
The topic the person is talking about is Purdue Pharma.,"The person's points are that they want to know if anyone did any investigation to see if Purdue Pharma sales reps were exceeding what they were allowed to do, and if the reps were making false claims when marketing the product.",N/A,N/A,N/A,"Did you do any investigation to find out whether were, uh, sales reps employed by Purdue Pharma, uh, were, um, exceeding, uh, what they were allowed to do? Uh, and when they were marketing that they were making claims that were untrue."
what topic are they talking about?,can you summarize their points?,"if they support their point with facts, what are the facts?","if they support their point with anecdotes, what are the anecdotes?",can you quote the anecdote?,"Uh, I'm referring to you personally."
The topic is the investigation.,The person's points are that the investigation is a waste of time and resources.,The facts are that the investigation is a waste of time and resources.,There are no anecdotes.,There are no quotes.,"And, and did you all launch this investigation as soon as you learned there was a problem?"
Michael,N/A,N/A,N/A,N/A,"Do you re uh, who's Michael"
The presentation at Purdue.,They have not seen the presentation and want to know more about it.,N/A,N/A,N/A,"Uh, have you seen his presentation at Purdue that he, uh, uh, do you know what at Purdue is the Bureau's internal newsletter that goes out to all the employees?"
topic,summarizes points,claims,,,"Um, alright. We'll get to that later. Um, copies of this is a memorandum dated, um,"
The topic they are talking about is the meeting that was held on July 15th.,They are discussing a meeting that was held and the distribution list for it.,The facts are the date and time of the meeting and who was in attendance.,They do not support their points with anecdotes.,N/A,"July 15th, 1992 meeting with chk held Wednesday, July 24th, 1992 from Dr. JW Watkins. Uh, and there's a distribution list and I assume you are Dr. RS Sackler. Is that correct?"
The company's context.,They are trying to understand the company and its context.,N/A,N/A,N/A,"And if you would turn to page six of this document, that is P D D 1 7 0 1 5 4 6 2 2 6. And to give it a little context, Sheia Nogi, uh, is that a Japanese company?"
The topic is the business venture.,The person's points are that the venture is uncertain and that it involves OxyContin.,The facts are that the business venture is uncertain and that it involves OxyContin.,There are no anecdotes.,There is no quote.,"And at one time, were you all talking about doing some sort of business with them involving potentially, uh, OxyContin controlled release?"
The topic is business dealings with a company.,The person's points are that they are not sure if they have done business with the company and that they want to know more information.,N/A,N/A,N/A,"Uh, and did you do business with them involving OxyContin controlled release?"
The topic is the positioning of oxycodone.,They are looking at options presented by Dr. Keiko.,The facts are that there are two options for positioning oxycodone.,There are no anecdotes.,N/A,"Let's look at page six, if you would the, um, looks like maybe the third paragraph down that begins with Dr. Keiko. Yes. Do you see that Dr. Keiko presented two options identified for positioning of oxycodone aro Contin. Now, is that the controlled release?"
The topic they are talking about is a study on MST cotton tablets.,"They point out that the first study was relevant to the US, and the second study was relevant to PF.","The facts are that the first study was relevant to the US, and the second study was relevant to PF.",They do not support their points with anecdotes.,N/A,"Versus MST cotton tablets in the us. The first was relevant if PF, who is PF"
The topic they are talking about is oxycodone Aqua Contin tablets.,They think that oxycodone Aqua Contin tablets are better than Ms. Cotton tablets and that they should be used for the entire spectrum of pain.,The facts are that oxycodone Aqua Contin tablets are better than Ms. Cotton tablets and that they should be used for the entire spectrum of pain.,They do not support their point with anecdotes.,They do not quote any anecdote.,"Did not suffer substantial erosion of its MS Contin market by generic competition. This envision using oxycodone Aqua Contin tablets over the entire spectrum of pain in patients whose treatment had been initiated with this product whilst Ms. Cotton tablets would be used as therapy for chronic severe pain in patients who were changed from other medication, including oxycodone, Aqua Contin tablets, an alternative scenario would apply if Ms. Cotton tablets were subject to erosion by generic competitors. In this case, oxycodone, Aqua Contin tablets would be promoted for the use across the entire pain spectrum, including those patients who might otherwise receive controlled release morphine. Did I read that correctly?"
The topic is OxyContin.,The person's points are that they are unsure of the intent and that OxyContin is a controlled release.,The facts are that OxyContin is a controlled release.,N/A,N/A,"Okay. And was it your intent, uh, to promote OxyContin, um, controlled release across the entire pain spectrum"
The topic is whether or not the intent was to promote the topic across the entire pain spectrum.,The person's points are that they are not sure if the intent was to promote the topic across the entire pain spectrum.,N/A,N/A,N/A,Was it also your intent in the us to promote it across the entire pain spectrum?
no topic,summarizes points,the facts are that the person is talking about,no anecdotes,no quote,Okay. Let's mark this as exhibit
