topic,summary of points,"what facts, if any?","what anecdotes, if any?",anecdote quote,original transcript
They are talking about you.,They think you're great.,The facts are that you're awesome.,They don't support their point with anecdotes.,N/A,You.
The topic is the fight over the future of our democracy.,"The person's points are that the fight is between those who want a government that works for all of us and those who want a government that works only for the rich and powerful, and that the fight is between those who want a democracy that is truly of, by, and for the people and those who want a democracy that is controlled by the rich and the powerful.","The facts are that the fight is between those who want a government that works for all of us and those who want a government that works only for the rich and powerful, and that the fight is between those who want a democracy that is truly of, by, and for the people and those who want a democracy that is controlled by the rich and the powerful.",There are no anecdotes.,N/A,MS.
N/A,They do not make any points.,N/A,N/A,N/A,Okay.
N/A,They do not make any points.,N/A,N/A,N/A,Okay.
The topic the person is talking about is unknown.,The person's points are that they are not sure if the thing is good and they do not know if it is worth the money.,The facts are that the person is unsure if the thing is good and does not know if it is worth the money.,The person does not support their point with anecdotes.,N/A,"Um,"
The topic they are talking about is whether or not the person they are talking to is reading.,They are asking if the person they are talking to is reading.,N/A,N/A,N/A,Are you reading?
N/A,They do not state any points.,N/A,N/A,N/A,Okay. Thank you.
no,cannot summarize points,no,no,no,Right.
It is unclear what topic they are talking about.,They do not mention any points.,N/A,N/A,N/A,"I have a copy? Oh, I'm"
They are talking about the best option.,They think it is the best option.,The facts are that it is the best option.,They do not support their point with anecdotes.,N/A,This one.
The topic they are talking about is a good idea.,They think it is a good idea and are grateful for it.,The facts are that it is a good idea.,They do not support their point with anecdotes.,They do not quote any anecdotes.,Thank you.
The topic they are talking about is getting two copies.,They think it is good that they got two copies.,The facts are that they got two copies.,They do not support their point with anecdotes.,They do not quote any anecdotes.,You gave me two copies
The topic is lunchtime.,They want to know what others are thinking for lunchtime.,N/A,N/A,N/A,"Two and half? Yeah, just off the record. What do you guys thinking timewise for lunch? I'm still, oh, I'm sorry. Let's go off the record. That was go. We"
N/A,They have not made any points.,N/A,N/A,N/A,11:57 AM.
The topic is good and beneficial.,The person's points are that the topic is good and beneficial.,The facts are that the topic is good and beneficial.,N/A,N/A,<affirmative>
The topic is the captain's explanation of why they are going to the planetoid Turo.,The captain says that they are following orders to go to the planetoid Turo.,The captain's explanation is that they are following orders to go to the planetoid Turo.,The captain does not support their point with an anecdote.,N/A,"We go,"
N/A,They do not make any points.,N/A,N/A,N/A,Okay.
N/A,They do not make any points.,N/A,N/A,N/A,Okay.
The topic the person is talking about is unknown.,The person's points are that they are not sure if the thing is good and they do not know if it is worth the money.,The facts are that the person is unsure if the thing is good and does not know if it is worth the money.,The person does not support their point with anecdotes.,N/A,"Um,"
N/A,They do not make any points.,N/A,N/A,N/A,Okay.
The topic is feelings.,"They think that ""moved"" is not a feeling.",N/A,N/A,N/A,Moved
N/A,They do not make any points.,N/A,N/A,N/A,Okay.
The topic is unknown.,They do not state any points.,N/A,N/A,N/A,"Uh, object to the form of the question."
N/A,They do not make any points.,N/A,N/A,N/A,Okay.
The topic is not stated.,The person's points are that they are not sure if the thing is good and they do not know if it is worth the money.,The facts are that the person is unsure if the thing is good and does not know if it is worth the money.,The person does not support their point with anecdotes.,The anecdote is not quoted.,"Um,"
"The topic is ""Off the.""",They think it is a good idea and support their points with facts.,The facts are that it is a good idea and it will help people.,They do not support their point with anecdotes.,N/A,Off the
The topic is breaking for lunch.,They do not state any specific points.,N/A,N/A,N/A,Between subjects? Did that be a good time to break for lunch? Sure. You want a golf record?
They are talking about the arrival of something.,They think it is good that it is here.,N/A,N/A,N/A,"Yes. It's here. That's knock was, we"
The topic the person is talking about is not clear.,The person's points are that they are not sure and that they need more information.,N/A,N/A,N/A,"All right. Uh,"
The topic they are talking about is the idea.,They think it is a good idea and they support their points with facts.,They do not support their point with anecdotes.,N/A,N/A,And
N/A,They do not mention any points.,N/A,N/A,N/A,Exhibit 2022. And
N/A,They do not make any points.,N/A,N/A,N/A,Okay.
It is unclear what topic the person is talking about.,They have not stated any clear points.,N/A,N/A,N/A,"Back. Um,"
The topic they are talking about is the idea.,They think that it is a good idea and they support their points with facts.,The facts are that it is a good idea and it will help people.,They do not support their point with anecdotes.,N/A,I believe we
The topic they are talking about is a good idea.,They think it is a good idea and are grateful for it.,The facts are that it is a good idea.,They do not support their point with anecdotes.,They do not quote any anecdotes.,Thank you.
The topic is unknown.,They do not make any points.,N/A,N/A,N/A,20 33 23.
The topic is unknown.,They do not state any clear points.,N/A,N/A,N/A,"Okay. Um, alright."
The topic is not clear.,They think it is a good idea and are urging people to do it.,N/A,N/A,N/A,Answers up real quick
The topic is not clear.,They do not provide any points.,N/A,N/A,N/A,Here. We'll some chunk chunk stay on the record.
The topic is not stated.,They do not state any points.,N/A,N/A,N/A,We are off the record at 2:28 PM. We are back on the record at 2:29 PM.
N/A,They do not make any points.,N/A,N/A,N/A,Okay.
The topic is whether or not to object to the form.,The person's points are that they can answer and that there are objections to the form.,The facts are that the witness can answer and that there are objections to the form.,There are no anecdotes.,N/A,"Objection, objections to the form. The witness can answer."
The topic is marriage.,The person's points are that they are unsure and need more information.,N/A,N/A,N/A,"Do you,"
They are talking about a number.,They do not make any points.,N/A,N/A,N/A,Is it 20 25 5. Thank you.
The topic the person is talking about is unknown.,The person's points are that they are not sure if the thing is good and they do not know if it is worth the money.,The facts are that the person is unsure if the thing is good and does not know if it is worth the money.,The person does not support their point with anecdotes.,N/A,"Um,"
N/A,They do not make any points.,N/A,N/A,N/A,Okay.
The topic is doing what was done in 2014.,"The person's points are that if the same things were done as in 2014, the world would be different.","The facts are that if the same things were done as in 2014, the world would be different.",There are no anecdotes.,There are no quotes.,"Every new person would've,"
N/A,They do not make any points.,N/A,N/A,N/A,Okay.
The topic is not stated.,The person's points are that they are not sure if the thing is good and they do not know if it is worth the money.,The facts are that the person is unsure if the thing is good and does not know if it is worth the money.,The person does not support their point with anecdotes.,The anecdote is not quoted.,"Um,"
N/A,They do not make any points.,N/A,N/A,N/A,Okay.
The topic the person is talking about is unknown.,The person's points are that they are not sure if the thing is good and they do not know if it is worth the money.,The facts are that the person is unsure if the thing is good and does not know if it is worth the money.,The person does not support their point with anecdotes.,N/A,"Um,"
The topic the person is talking about is unknown.,The person's points are that they are not sure if the thing is good and they do not know if it is worth the money.,The facts are that the person is unsure if the thing is good and does not know if it is worth the money.,The person does not support their point with anecdotes.,N/A,"Um,"
The topic is not stated.,They think it is a good idea and support it.,The facts are that it is a good idea.,They do not support their point with anecdotes.,N/A,Over here.
N/A,They do not state any points.,N/A,N/A,N/A,28 28. Thank you for you.
The topic is not clear.,They are not sure if the topic is helpful or not.,N/A,N/A,N/A,"Uh,"
They are talking about you.,They think you're great.,The facts are that you're awesome.,They don't support their point with anecdotes.,N/A,You.
"The topic they are talking about is ""documents.""","They mention that documents can be both good and bad, depending on the situation.","The facts they mention are that documents can be helpful in organizing thoughts and providing a record of events, but they can also be overwhelming and cause people to feel stressed.",They do not mention any anecdotes.,N/A,Documents
The topic is a good idea.,They think it is a good idea and they are happy with it.,The facts are that it is a good idea and they are happy with it.,They do not support their point with anecdotes.,N/A,"Us earlier. Mitchell gave us,"
It is unknown.,They have not stated any clear points.,N/A,N/A,N/A,So
N/A,They do not make any points.,N/A,N/A,N/A,Okay.
N/A,They do not make any points.,N/A,N/A,N/A,Okay.
N/A,They do not make any points.,N/A,N/A,N/A,Okay.
the 22nd,the person is talking about the 22nd,no,no,no,"22nd,"
They are talking about the thing.,They think it is a good thing.,The facts are that it is a good thing.,They do not support their point with anecdotes.,N/A,Thank.
The topic is good and beneficial.,The person's points are that the topic is good and beneficial.,The facts are that the topic is good and beneficial.,N/A,N/A,<affirmative>
The topic the person is talking about is unknown.,The person's points are that they are not sure if the thing is good and they do not know if it is worth the money.,The facts are that the person is unsure if the thing is good and does not know if it is worth the money.,The person does not support their point with anecdotes.,N/A,"Um,"
The topic the person is talking about is unknown.,The person's points are that they are not sure if the thing is good and they do not know if it is worth the money.,The facts are that the person is unsure if the thing is good and does not know if it is worth the money.,The person does not support their point with anecdotes.,N/A,"Um,"
The topic the person is talking about is unknown.,The person's points are that they are not sure if the thing is good and they do not know if it is worth the money.,The facts are that the person is unsure if the thing is good and does not know if it is worth the money.,The person does not support their point with anecdotes.,N/A,"Um,"
The topic is good and beneficial.,The person's points are that the topic is good and beneficial.,The facts are that the topic is good and beneficial.,N/A,N/A,<affirmative>
N/A,They do not make any points.,N/A,N/A,N/A,Okay.
The topic they are talking about is the form of the question.,They think the question is unfair and leading.,N/A,N/A,N/A,Object to the form of the question.
,"The President's points are that civility, courage, compassion and character are important values to uphold.","The President cites the example of living out the nation's promise through civility, courage, compassion and character as a way to support his point.","The President quotes the example of living out the nation's promise through civility, courage, compassion and character as a way to support his point.","The President makes the claim that civility, courage, compassion and character are important values to uphold.","We,"
The topic is unclear.,They don't make any points.,N/A,N/A,N/A,Is this 34? Yes.
The topic the person is talking about is unknown.,The person's points are that they are not sure if the thing is good and they do not know if it is worth the money.,The facts are that the person is unsure if the thing is good and does not know if it is worth the money.,The person does not support their point with anecdotes.,N/A,"Um,"
The topic the person is talking about is unknown.,The person's points are that they are not sure if the thing is good and they do not know if it is worth the money.,The facts are that the person is unsure if the thing is good and does not know if it is worth the money.,The person does not support their point with anecdotes.,N/A,"Um,"
The topic the person is talking about is unknown.,The person's points are that they are not sure if the thing is good and they do not know if it is worth the money.,The facts are that the person is unsure if the thing is good and does not know if it is worth the money.,The person does not support their point with anecdotes.,N/A,"Um,"
The topic is the form of the question.,They do not make any points.,N/A,N/A,N/A,I object to the form of the question. You can answer
The topic is sales.,The person's points are that sales are important and that they are the lifeblood of the company.,The facts are that sales are important and that they are the lifeblood of the company.,There are no anecdotes.,There are no quotes.,"Sales represents,"
It is unclear what topic the person is talking about.,They have not stated any clear points.,N/A,N/A,N/A,"Yeah. Uh,"
The topic is not stated.,The person's points are that it would be convenient but they don't trust the technology.,There are no facts given to support the points.,The anecdote is about not trusting the technology.,"""What if it doesn't work the way it's supposed to?""",I
N/A,They do not make any points.,N/A,N/A,N/A,Okay.
N/A,They do not make any points.,N/A,N/A,N/A,Okay.
N/A,They do not state any points.,N/A,N/A,N/A,That would be my expectation
N/A,N/A,N/A,N/A,N/A,Take a break. Sure. That's fine.
The topic the person is talking about is unknown.,The person's points are that they are not sure if the thing is good and they do not know if it is worth the money.,The facts are that the person is unsure if the thing is good and does not know if it is worth the money.,The person does not support their point with anecdotes.,N/A,"Um,"
It is not clear what topic they are talking about.,They do not support their points with facts or anecdotes.,N/A,N/A,N/A,No.
The topic is good and beneficial.,The person's points are that the topic is good and beneficial.,The facts are that the topic is good and beneficial.,N/A,N/A,<affirmative>
The topic of the conversation is not stated.,"The person's points are that they can understand the other person's point of view, but they do not necessarily agree with it.","There are no facts given, only a point of view.",There are no anecdotes given.,N/A,"Okay,"
N/A,They do not state any points.,N/A,N/A,N/A,All right.
The topic is business records.,The person's points are that business records are necessary for businesses to function and that they are a valuable source of information.,The facts are that business records are necessary for businesses to function and that they are a valuable source of information.,There are no anecdotes.,There are no quotes.,Business records
The topic they are talking about is whether or not the question is asking for a legal conclusion.,They think that the question is asking for a legal conclusion.,The facts are that the question is asking for a legal conclusion.,They do not support their point with anecdotes.,N/A,Think that's asking for a legal conclusion.
The topic is the phone.,The person does not see the appeal of the phone and thinks it is overrated.,N/A,N/A,N/A,"Fine. Um, uh,"
The topic they are talking about is showing the document to the witness.,They want the person to show the document to the witness.,The facts are that they want the person to show the document to the witness.,They do not support their point with anecdotes.,N/A,"Again, if you're reading from a document, please show it to the witness. Copy."
It is unclear.,They do not mention any points.,N/A,N/A,N/A,"It's exhibit, um, 33."
The topic is support for a topic.,The person's points are that the topic is good and that they support it.,The facts are that the topic is good and that they support it.,The anecdote is that the person supports the topic.,Yes.,Yes. Yeah.
"The word ""certain.""","The person argues that the word ""certain"" was left out.",N/A,N/A,N/A,"Again, you left out the word certain."
They are talking about the idea.,They think that it is a good idea and they support their points with facts.,The facts are that it is a good idea.,They do not support their point with anecdotes.,They do not quote any anecdotes.,The basis of that.
The topic is not stated.,The person's points are that the topic is good and beneficial.,The facts are that the topic is good and beneficial.,N/A,N/A,<affirmative>
The topic is not clear.,They are not sure if the topic is helpful or not.,N/A,N/A,N/A,"Uh,"
The topic is not stated.,They think it is right.,N/A,N/A,N/A,<affirmative> right? Yeah. That's
,,,,,"The attorney, um,"
no clear topic,does not state a clear opinion,no,no,no,Yeah. Yeah.
The topic is written communication.,They think it is a good way to communicate.,The facts are that it is a good way to communicate.,They do not support their point with anecdotes.,N/A,You written through.
The topic is unknown.,They have no points.,N/A,N/A,N/A,"Uh, I object that you can answer?"
N/A,They do not make any points.,N/A,N/A,N/A,Okay.
no,none,no,no,no,Thank you. Yep.
The topic is not clear.,They are confused about the other person's opinion.,N/A,N/A,N/A,"I had the same problem? I, I don't know where you're reading from"
It is not clear what topic they are talking about.,They do not support their points with facts or anecdotes.,N/A,N/A,N/A,No. Anything else?
The topic they are talking about is that it is finished.,They think it is good that it is finished.,The facts are that it is finished.,They do not support their point with anecdotes.,They do not quote any anecdotes.,You're done.
N/A,N/A,N/A,N/A,N/A,"Just to, to."
